Datetime,Signal
1/1/2024 0:00,-2
1/1/2024 16:00,2
1/6/2024 0:00,2
1/6/2024 20:00,2
1/7/2024 0:00,-2
1/7/2024 4:00,-2
1/7/2024 23:00,2
1/8/2024 20:00,-2
1/12/2024 16:00,-2
1/14/2024 1:00,-2
1/15/2024 0:00,-2
1/15/2024 16:00,-2
1/15/2024 22:00,2
1/16/2024 16:00,2
1/19/2024 4:00,2
1/20/2024 0:00,-2
1/20/2024 8:00,2
1/22/2024 17:00,-2
1/23/2024 16:00,-2
1/24/2024 16:00,2
1/27/2024 0:00,2
1/28/2024 0:00,2
1/28/2024 16:00,-2
1/30/2024 8:00,-2
1/30/2024 16:00,2
2/3/2024 0:00,-2
2/9/2024 9:00,2
2/10/2024 22:00,-2
2/11/2024 21:00,2
2/14/2024 0:00,2
2/14/2024 10:00,-2
2/17/2024 0:00,2
2/17/2024 16:00,2
2/18/2024 1:00,-2
2/18/2024 23:00,-2
2/19/2024 18:00,2
2/21/2024 0:00,-2
2/22/2024 8:00,-2
2/24/2024 5:00,-2
2/25/2024 8:00,-2
2/26/2024 17:00,-2
2/28/2024 13:00,-2
3/2/2024 16:00,-2
3/3/2024 19:00,-2
3/4/2024 8:00,-2
3/4/2024 21:00,2
3/10/2024 1:00,-2
3/11/2024 8:00,-2
3/13/2024 0:00,2
3/13/2024 3:00,2
3/13/2024 19:00,2
3/15/2024 4:00,2
3/15/2024 20:00,2
3/16/2024 19:00,-2
3/17/2024 2:00,-2
3/17/2024 9:00,-2
3/17/2024 18:00,2
3/21/2024 8:00,-2
3/21/2024 18:00,-2
3/22/2024 1:00,2
3/22/2024 16:00,-2
3/24/2024 8:00,-2
3/24/2024 16:00,-2
3/24/2024 18:00,-2
3/25/2024 7:00,2
3/25/2024 17:00,-2
3/27/2024 0:00,-2
3/27/2024 23:00,2
3/28/2024 12:00,-2
3/28/2024 20:00,2
3/30/2024 0:00,2
3/30/2024 17:00,-2
3/31/2024 8:00,-2
4/6/2024 8:00,-2
4/7/2024 1:00,-2
4/8/2024 9:00,-2
4/11/2024 4:00,-2
4/11/2024 21:00,2
4/12/2024 9:00,-2
4/12/2024 21:00,2
4/13/2024 0:00,-2
4/13/2024 20:00,2
4/14/2024 0:00,-2
4/14/2024 5:00,-2
4/17/2024 12:00,2
4/17/2024 16:00,-2
4/18/2024 15:00,2
4/19/2024 15:00,-2
4/20/2024 2:00,2
4/20/2024 20:00,-2
4/21/2024 20:00,-2
4/22/2024 15:00,2
4/23/2024 4:00,-2
4/25/2024 8:00,2
4/25/2024 21:00,2
4/27/2024 4:00,2
4/27/2024 12:00,-2
4/28/2024 8:00,-2
4/29/2024 4:00,2
4/30/2024 3:00,-2
5/4/2024 11:00,-2
5/5/2024 11:00,-2
5/5/2024 18:00,2
5/6/2024 4:00,2
5/7/2024 5:00,2
5/9/2024 15:00,-2
5/10/2024 12:00,2
5/11/2024 0:00,-2
5/12/2024 1:00,2
5/12/2024 20:00,-2
5/13/2024 10:00,-2
5/14/2024 4:00,-2
5/17/2024 0:00,2
5/17/2024 16:00,2
5/18/2024 12:00,-2
5/18/2024 17:00,-2
5/19/2024 10:00,-2
5/20/2024 1:00,2
5/20/2024 12:00,-2
5/20/2024 21:00,-2
5/21/2024 17:00,-2
5/21/2024 21:00,2
5/23/2024 0:00,-2
5/25/2024 9:00,2
5/25/2024 20:00,-2
5/26/2024 23:00,2
5/27/2024 8:00,-2
5/29/2024 14:00,2
6/1/2024 0:00,-2
6/1/2024 23:00,2
6/4/2024 1:00,2
6/10/2024 6:00,-2
6/11/2024 12:00,2
6/11/2024 15:00,-2
6/13/2024 4:00,2
6/13/2024 16:00,-2
6/14/2024 16:00,-2
6/14/2024 17:00,2
6/16/2024 11:00,2
6/16/2024 17:00,-2
6/17/2024 4:00,-2
6/17/2024 12:00,2
6/21/2024 8:00,2
6/21/2024 20:00,-2
6/23/2024 12:00,-2
6/24/2024 2:00,2
6/25/2024 4:00,2
6/25/2024 12:00,-2
6/26/2024 13:00,-2
6/29/2024 3:00,2
6/30/2024 6:00,-2
