DateTime,Event
2024-01-02 14:45:00,S&P Global US Manufacturing PMI (Dec)
2024-01-02 15:00:00,Construction Spending (MoM) (Nov)
2024-01-02 16:30:00,3-Month Bill Auction
2024-01-02 16:30:00,6-Month Bill Auction
2024-01-02 18:00:00,Atlanta Fed GDPNow (Q4)
2024-01-03 12:00:00,MBA 30-Year Mortgage Rate
2024-01-03 12:00:00,MBA Mortgage Applications (WoW)
2024-01-03 12:00:00,MBA Purchase Index
2024-01-03 12:00:00,Mortgage Market Index
2024-01-03 12:00:00,Mortgage Refinance Index
2024-01-03 13:30:00,FOMC Member Barkin Speaks
2024-01-03 13:55:00,Redbook (YoY)
2024-01-03 15:00:00,JOLTs Job Openings (Nov)
2024-01-03 15:00:00,ISM Manufacturing Prices (Dec)
2024-01-03 15:00:00,ISM Manufacturing Employment (Dec)
2024-01-03 15:00:00,ISM Manufacturing New Orders Index (Dec)
2024-01-03 15:00:00,ISM Manufacturing PMI (Dec)
2024-01-03 18:00:00,Atlanta Fed GDPNow (Q4)
2024-01-03 19:00:00,FOMC Meeting Minutes
2024-01-03 21:30:00,API Weekly Crude Oil Stock
2024-01-04 12:30:00,All Car Sales (Dec)
2024-01-04 12:30:00,All Truck Sales (Dec)
2024-01-04 12:30:00,Challenger Job Cuts (YoY)
2024-01-04 12:30:00,Challenger Job Cuts (Dec)
2024-01-04 13:15:00,ADP Nonfarm Employment Change (Dec)
2024-01-04 13:30:00,Jobless Claims 4-Week Avg.
2024-01-04 13:30:00,Continuing Jobless Claims
2024-01-04 13:30:00,Initial Jobless Claims
2024-01-04 14:45:00,S&P Global Composite PMI (Dec)
2024-01-04 14:45:00,S&P Global Services PMI (Dec)
2024-01-04 15:00:00,Total Vehicle Sales
2024-01-04 15:30:00,Natural Gas Storage
2024-01-04 16:00:00,Gasoline Production
2024-01-04 16:00:00,Gasoline Inventories
2024-01-04 16:00:00,EIA Weekly Refinery Utilization Rates (WoW)
2024-01-04 16:00:00,Heating Oil Stockpiles
2024-01-04 16:00:00,EIA Weekly Distillates Stocks
2024-01-04 16:00:00,Distillate Fuel Production
2024-01-04 16:00:00,Cushing Crude Oil Inventories
2024-01-04 16:00:00,Crude Oil Imports
2024-01-04 16:00:00,EIA Refinery Crude Runs (WoW)
2024-01-04 16:00:00,Crude Oil Inventories
2024-01-04 16:30:00,4-Week Bill Auction
2024-01-04 16:30:00,8-Week Bill Auction
2024-01-04 21:30:00,Fed's Balance Sheet
2024-01-04 21:30:00,Reserve Balances with Federal Reserve Banks
2024-01-05 13:30:00,Private Nonfarm Payrolls (Dec)
2024-01-05 13:30:00,Participation Rate (Dec)
2024-01-05 13:30:00,Unemployment Rate (Dec)
2024-01-05 13:30:00,U6 Unemployment Rate (Dec)
2024-01-05 13:30:00,Nonfarm Payrolls (Dec)
2024-01-05 13:30:00,Average Hourly Earnings (YoY) (YoY) (Dec)
2024-01-05 13:30:00,Government Payrolls (Dec)
2024-01-05 13:30:00,Average Hourly Earnings (MoM) (Dec)
2024-01-05 13:30:00,Manufacturing Payrolls (Dec)
2024-01-05 13:30:00,Average Weekly Hours (Dec)
2024-01-05 15:00:00,ISM Non-Manufacturing PMI (Dec)
2024-01-05 15:00:00,ISM Non-Manufacturing Prices (Dec)
2024-01-05 15:00:00,ISM Non-Manufacturing Employment (Dec)
2024-01-05 15:00:00,ISM Non-Manufacturing Business Activity (Dec)
2024-01-05 15:00:00,ISM Non-Manufacturing New Orders (Dec)
2024-01-05 15:00:00,Factory Orders (MoM) (Nov)
2024-01-05 15:00:00,Durables Excluding Transport (MoM) (Nov)
2024-01-05 15:00:00,Durables Excluding Defense (MoM) (Nov)
2024-01-05 15:00:00,Factory orders ex transportation (MoM) (Nov)
2024-01-05 18:00:00,U.S. Baker Hughes Oil Rig Count
2024-01-05 18:00:00,U.S. Baker Hughes Total Rig Count
2024-01-05 18:30:00,FOMC Member Barkin Speaks
2024-01-05 20:30:00,CFTC Natural Gas speculative net positions
2024-01-05 20:30:00,CFTC Soybeans speculative net positions
2024-01-05 20:30:00,CFTC Silver speculative net positions
2024-01-05 20:30:00,CFTC S&P 500 speculative net positions
2024-01-05 20:30:00,CFTC Wheat speculative net positions
2024-01-05 20:30:00,CFTC Gold speculative net positions
2024-01-05 20:30:00,CFTC Crude Oil speculative net positions
2024-01-05 20:30:00,CFTC Corn speculative net positions
2024-01-05 20:30:00,CFTC Copper speculative net positions
2024-01-05 20:30:00,CFTC Aluminium speculative net positions
2024-01-05 20:30:00,CFTC Nasdaq 100 speculative net positions
2024-01-08 15:00:00,CB Employment Trends Index (Dec)
2024-01-08 16:00:00,NY Fed 1-Year Consumer Inflation Expectations
2024-01-08 16:30:00,3-Month Bill Auction
2024-01-08 16:30:00,6-Month Bill Auction
2024-01-08 17:00:00,FOMC Member Bostic Speaks
2024-01-08 20:00:00,Consumer Credit (Nov)
2024-01-09 11:00:00,NFIB Small Business Optimism (Dec)
2024-01-09 13:30:00,Exports
2024-01-09 13:30:00,Imports
2024-01-09 13:30:00,Trade Balance (Nov)
2024-01-09 13:55:00,Redbook (YoY)
2024-01-09 15:00:00,IBD/TIPP Economic Optimism
2024-01-09 16:30:00,Atlanta Fed GDPNow (Q4)
2024-01-09 17:00:00,Fed Vice Chair for Supervision Barr Speaks
2024-01-09 17:00:00,EIA Short-Term Energy Outlook
2024-01-09 18:00:00,3-Year Note Auction
2024-01-09 21:30:00,API Weekly Crude Oil Stock
2024-01-10 12:00:00,MBA 30-Year Mortgage Rate
2024-01-10 12:00:00,MBA Mortgage Applications (WoW)
2024-01-10 12:00:00,MBA Purchase Index
2024-01-10 12:00:00,Mortgage Market Index
2024-01-10 12:00:00,Mortgage Refinance Index
2024-01-10 15:00:00,Thomson Reuters IPSOS PCSI (Jan)
2024-01-10 15:00:00,Wholesale Inventories (MoM) (Nov)
2024-01-10 15:00:00,Wholesale Trade Sales (MoM) (Nov)
2024-01-10 15:30:00,Gasoline Inventories
2024-01-10 15:30:00,EIA Weekly Refinery Utilization Rates (WoW)
2024-01-10 15:30:00,Heating Oil Stockpiles
2024-01-10 15:30:00,Gasoline Production
2024-01-10 15:30:00,EIA Weekly Distillates Stocks
2024-01-10 15:30:00,Distillate Fuel Production
2024-01-10 15:30:00,Cushing Crude Oil Inventories
2024-01-10 15:30:00,Crude Oil Imports
2024-01-10 15:30:00,EIA Refinery Crude Runs (WoW)
2024-01-10 15:30:00,Crude Oil Inventories
