Date,Optimized TP,Optimized SL,Time Offset,Percentage Change,ROI
1/1/2024 1:00,0.009,0.01,50,0.0001,0.82938
1/1/2024 17:00,0.013,0.005,90,0.0003,1.2291
1/2/2024 23:00,0.012,0.01,50,0.0002,1.12917
1/6/2024 1:00,0.01,0.012,80,0.0007,0.92931
1/6/2024 5:00,0.013,0.012,20,0.0014,1.2291
1/6/2024 21:00,0.013,0.011,20,0.0002,1.2291
1/7/2024 5:00,0.012,0.011,30,0.0013,1.12917
1/8/2024 0:00,0.008,0.013,100,0.0003,0.72945
1/8/2024 21:00,0.013,0.009,30,0.0006,1.2291
1/11/2024 17:00,0.013,0.013,110,0.0012,1.2291
1/12/2024 17:00,0.013,0.009,110,0.0014,1.2291
1/14/2024 2:00,0.013,0.009,20,0.0008,1.2291
1/14/2024 9:00,0.013,0.005,30,0.0003,1.2291
1/15/2024 1:00,0.003,0.011,50,0.0002,0.2298
1/15/2024 17:00,0.011,0.011,110,0.0001,1.02924
1/15/2024 23:00,0.013,0.006,90,0.0004,1.2291
1/16/2024 17:00,0.013,0.011,50,0.0009,1.2291
1/17/2024 21:00,0.013,0.01,60,0.0004,1.2291
1/18/2024 18:00,0.013,0.01,70,0.0008,1.2291
1/19/2024 5:00,0.008,0.006,60,0.0005,0.72945
1/20/2024 1:00,0.013,0.007,110,0.0003,1.2291
1/20/2024 9:00,0.009,0.009,30,0.0008,0.82938
1/21/2024 16:00,0.013,0.011,50,0.0011,1.2291
1/22/2024 1:00,0.013,0.009,60,0.0012,1.2291
1/22/2024 18:00,0.013,0.013,80,0.0009,1.2291
1/23/2024 17:00,0.011,0.01,30,0.0012,1.02924
1/24/2024 17:00,0.013,0.008,100,0.0004,1.2291
1/26/2024 17:00,0.013,0.005,90,0.0005,1.2291
1/27/2024 1:00,0.012,0.012,80,0.0006,1.12917
1/27/2024 17:00,0.013,0.008,10,0.0002,1.2291
1/28/2024 1:00,0.011,0.005,110,0.0005,1.02924
1/28/2024 17:00,0.013,0.004,50,0.0014,1.2291
1/30/2024 9:00,0.013,0.012,20,0.0009,1.2291
1/30/2024 12:00,0.013,0.009,30,0.0008,1.2291
1/30/2024 17:00,0.009,0.01,90,0.0004,0.82938
2/4/2024 5:00,0.006,0.009,30,0.0012,0.52959
2/9/2024 1:00,0.013,0.009,80,0.0011,1.2291
2/10/2024 23:00,0.007,0.005,0,0.0012,0.62952
2/11/2024 22:00,0.013,0.011,10,0.0006,1.2291
2/14/2024 1:00,0.013,0.004,60,0.0006,1.2291
2/14/2024 11:00,0.008,0.011,80,0.0012,0.72945
2/17/2024 1:00,0.003,0.009,40,0.0007,0.2298
2/17/2024 17:00,0.013,0.007,10,0.0002,1.2291
2/18/2024 2:00,0.005,0.003,10,0.0008,0.42966
2/19/2024 0:00,0.013,0.01,30,0.0014,1.2291
