Datetime,Side,Signal Open Price,Entry Price,TP Price,SL Price,Result,Duration,Execution Latency,ROI,NAV,CM_2x,ROI_2x,CM_3x,ROI_3x,CM_4x,ROI_4x,CM_5x,ROI_5x,CM_6x,ROI_6x,CM_7x,ROI_7x,CM_8x,ROI_8x
1/1/2024 2:58,Sell,42623.7,42627.1099,42217.88964,43223.88943,1,2:54:00,0:04:00,0.96,100960,101920,1.92,102880,2.88,103840,3.84,104800,4.8,105760,5.76,106720,6.72,107680,7.68
1/1/2024 18:58,Buy,43117.4,,,,Not Filled,0:00:00,0:00:00,0,100960,101920,0,102880,0,103840,0,104800,0,105760,0,106720,0,107680,0
1/2/2024 2:58,Sell,45376.4,45380.03011,44944.38182,46015.35053,1,12:19:00,0:00:00,1.929216,101929.216,103876.864,1.92,105842.944,2.88,107827.456,3.84,109830.4,4.8,111851.776,5.76,113891.584,6.72,115949.824,7.68
1/3/2024 0:58,Buy,45148.9,45145.28809,45578.68285,44513.25405,1,8:38:00,0:03:00,2.907736474,102907.7365,105871.2998,1.92,108891.2208,2.88,111968.0303,3.84,115102.2592,4.8,118294.4383,5.76,121545.0984,6.72,124854.7705,7.68
1/3/2024 18:58,Buy,42248,42244.62016,42650.16851,41653.19548,1,0:24:00,0:00:00,3.895650744,103895.6507,107904.0287,1.92,112027.2879,2.88,116267.6027,3.84,120627.1676,4.8,125108.1979,5.76,129712.9291,6.72,134443.6169,7.68
1/5/2024 2:58,Buy,43507.4,43503.91941,43921.55703,42894.86454,1,3:56:00,0:00:00,4.893048991,104893.049,109975.7861,1.92,115253.6738,2.88,120732.2786,3.84,126417.2717,4.8,132314.4301,5.76,138429.6379,6.72,144768.8866,7.68
1/6/2024 2:58,Buy,43913.8,43910.2869,44331.82565,43295.54288,1,34:25:00,0:00:00,5.900022261,105900.0223,112087.3212,1.92,118572.9796,2.88,125368.3981,3.84,132485.3007,4.8,139935.7413,5.76,147732.1096,6.72,155887.1371,7.68
1/6/2024 22:58,Buy,43877.1,43873.58983,44294.77629,43259.35957,1,14:21:00,0:00:00,6.916662475,106916.6625,114239.3978,1.92,121987.8815,2.88,130182.5446,3.84,138844.5952,4.8,147996.04,5.76,157659.7073,6.72,167859.2693,7.68
1/7/2024 2:58,Sell,43932.7,43936.21462,43514.42696,44551.32162,1,23:37:00,0:02:00,7.943062435,107943.0624,116432.7942,1.92,125501.1324,2.88,135181.5543,3.84,145509.1357,4.8,156520.6119,5.76,168254.4397,6.72,180750.8611,7.68
1/7/2024 6:58,Sell,44010.2,44013.72082,43591.1891,44629.91291,1,16:46:00,0:00:00,8.979315834,108979.3158,118668.3038,1.92,129115.5651,2.88,140372.526,3.84,152493.5742,4.8,165536.1992,5.76,179561.138,6.72,194632.5273,7.68
