Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,Max Drawdown,,,
"TP=0.0095, SL=0.0162, Method=percentage_change, pctChange=0.0002",2024-01,38,29,9,0.763157895,13.56506116,113565.0612,685.39,,,0.020%
"TP=0.0095, SL=0.0162, Method=percentage_change, pctChange=0.0002",2024-02,26,18,8,0.692307692,4.032339433,118144.3899,0,,,
"TP=0.0095, SL=0.0162, Method=percentage_change, pctChange=0.0002",2024-03,45,25,20,0.555555556,-8.631931009,107946.2477,316624.617,,,
"TP=0.0095, SL=0.0162, Method=percentage_change, pctChange=0.0002",2024-04,37,26,11,0.702702703,6.841359543,115331.2386,1385.574552,,,
"TP=0.0095, SL=0.0162, Method=percentage_change, pctChange=0.0002",2024-05,38,27,11,0.710526316,7.856352459,124392.0672,11585.48396,,,
"TP=0.0095, SL=0.0162, Method=percentage_change, pctChange=0.0002",2024-06,35,23,11,0.657142857,3.853332243,129185.3068,5939.496402,,,
"TP=0.0095, SL=0.0162, Method=percentage_change, pctChange=0.0002 ",Overall,219,148,70,0.675799087,29.18530682,129185.3068,685.39,,,
"TP=0.0095, SL=0.0163, Method=percentage_change, pctChange=0.0003",2024-01,38,29,9,0.763157895,13.46121179,113461.2118,695.485,,,
"TP=0.0095, SL=0.0163, Method=percentage_change, pctChange=0.0003",2024-02,26,18,8,0.692307692,3.947773191,117940.4031,0,,,
"TP=0.0095, SL=0.0163, Method=percentage_change, pctChange=0.0003",2024-03,45,26,19,0.577777778,-6.426007102,110361.5444,318666.775,,,
"TP=0.0095, SL=0.0163, Method=percentage_change, pctChange=0.0003",2024-04,37,26,11,0.702702703,6.721959479,117780.0027,1483.445312,,,
"TP=0.0095, SL=0.0163, Method=percentage_change, pctChange=0.0003",2024-05,38,27,11,0.710526316,7.735818094,126891.2495,12362.20447,,,
"TP=0.0095, SL=0.0163, Method=percentage_change, pctChange=0.0003",2024-06,35,23,11,0.657142857,3.737271435,131633.5199,6147.967158,,,
"TP=0.0095, SL=0.0163, Method=percentage_change, pctChange=0.0003 ",Overall,219,149,69,0.680365297,31.63351989,131633.5199,695.485,,,
"TP=0.0095, SL=0.0164, Method=percentage_change, pctChange=0.0004",2024-01,38,28,10,0.736842105,10.44911809,110449.1181,705.58,,,
"TP=0.0095, SL=0.0164, Method=percentage_change, pctChange=0.0004",2024-02,26,17,8,0.653846154,2.885851516,113636.5156,0,,,
"TP=0.0095, SL=0.0164, Method=percentage_change, pctChange=0.0004",2024-03,45,26,19,0.577777778,-6.606578432,106129.0301,312238.0003,,,
"TP=0.0095, SL=0.0164, Method=percentage_change, pctChange=0.0004",2024-04,37,26,11,0.702702703,6.602680731,113136.3911,1490.844146,,,
"TP=0.0095, SL=0.0164, Method=percentage_change, pctChange=0.0004",2024-05,38,27,11,0.710526316,7.615406198,121752.1869,12384.33255,,,
"TP=0.0095, SL=0.0164, Method=percentage_change, pctChange=0.0004",2024-06,35,23,11,0.657142857,3.62132855,126161.2336,5984.497843,,,
"TP=0.0095, SL=0.0164, Method=percentage_change, pctChange=0.0004 ",Overall,219,147,70,0.671232877,26.16123358,126161.2336,705.58,,,
"TP=0.0095, SL=0.0165, Method=percentage_change, pctChange=0.0005",2024-01,38,29,9,0.763157895,13.25376626,113253.7663,715.675,,,
"TP=0.0095, SL=0.0165, Method=percentage_change, pctChange=0.0005",2024-02,26,17,8,0.653846154,2.802200236,116427.3636,0,,,
"TP=0.0095, SL=0.0165, Method=percentage_change, pctChange=0.0005",2024-03,45,26,19,0.577777778,-6.786819616,108525.6484,325227.3306,,,
"TP=0.0095, SL=0.0165, Method=percentage_change, pctChange=0.0005",2024-04,37,26,11,0.702702703,6.483523189,115561.934,1590.239989,,,
"TP=0.0095, SL=0.0165, Method=percentage_change, pctChange=0.0005",2024-05,38,28,10,0.736842105,10.33687877,127507.431,5927.731807,,,
"TP=0.0095, SL=0.0165, Method=percentage_change, pctChange=0.0005",2024-06,35,23,11,0.657142857,3.505503482,131977.2085,6356.942539,,,
"TP=0.0095, SL=0.0165, Method=percentage_change, pctChange=0.0005 ",Overall,219,149,68,0.680365297,31.97720845,131977.2085,715.675,,,
"TP=0.0095, SL=0.0166, Method=percentage_change, pctChange=0.0006",2024-01,38,29,9,0.763157895,13.15016998,113150.17,725.77,,,
"TP=0.0095, SL=0.0166, Method=percentage_change, pctChange=0.0006",2024-02,26,17,8,0.653846154,2.718608473,116226.2801,0,,,
"TP=0.0095, SL=0.0166, Method=percentage_change, pctChange=0.0006",2024-03,45,27,18,0.6,-4.497574915,110998.9161,218297.4157,,,
"TP=0.0095, SL=0.0166, Method=percentage_change, pctChange=0.0006",2024-04,37,25,12,0.675675676,3.614498527,115010.9703,11048.52552,,,
"TP=0.0095, SL=0.0166, Method=percentage_change, pctChange=0.0006",2024-05,38,28,10,0.736842105,10.2247421,126770.5454,6164.857667,,,
"TP=0.0095, SL=0.0166, Method=percentage_change, pctChange=0.0006",2024-06,35,23,11,0.657142857,3.389796122,131067.8084,6409.236031,,,
"TP=0.0095, SL=0.0166, Method=percentage_change, pctChange=0.0006 ",Overall,219,149,68,0.680365297,31.06780838,131067.8084,725.77,,,
"TP=0.0095, SL=0.0167, Method=percentage_change, pctChange=0.0007",2024-01,38,29,9,0.763157895,13.04665794,113046.6579,735.865,,,
"TP=0.0095, SL=0.0167, Method=percentage_change, pctChange=0.0007",2024-02,26,17,8,0.653846154,2.635076191,116025.5235,0,,,
"TP=0.0095, SL=0.0167, Method=percentage_change, pctChange=0.0007",2024-03,45,27,18,0.6,-4.672230051,110604.5441,222909.6622,,,
"TP=0.0095, SL=0.0167, Method=percentage_change, pctChange=0.0007",2024-04,37,25,12,0.675675676,3.488132977,114462.5777,11876.14506,,,
"TP=0.0095, SL=0.0167, Method=percentage_change, pctChange=0.0007",2024-05,38,29,9,0.763157895,13.04665794,129396.1187,0,,,
"TP=0.0095, SL=0.0167, Method=percentage_change, pctChange=0.0007",2024-06,35,23,11,0.657142857,3.274206363,133632.8146,6632.846469,,,
"TP=0.0095, SL=0.0167, Method=percentage_change, pctChange=0.0007 ",Overall,219,150,67,0.684931507,33.63281463,133632.8146,735.865,,,
"TP=0.0095, SL=0.0168, Method=percentage_change, pctChange=0.0008",2024-01,38,29,9,0.763157895,12.94323008,112943.2301,745.96,,,
"TP=0.0095, SL=0.0168, Method=percentage_change, pctChange=0.0008",2024-02,26,17,8,0.653846154,2.551603354,115825.0933,0,,,
"TP=0.0095, SL=0.0168, Method=percentage_change, pctChange=0.0008",2024-03,45,27,18,0.6,-4.846583491,110211.5335,227499.3661,,,
