Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,Max Drawdown
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=9e-05, TimeLimit=120",2024-01,38,28,9,0.7368421052631579,15.09959823027793,115099.59823027793,0.0
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=9e-05, TimeLimit=120",2024-02,26,18,8,0.6923076923076923,6.097090334267323,122117.32470875673,0.0
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=9e-05, TimeLimit=120",2024-03,45,24,20,0.5333333333333333,-5.131397205779685,115850.99972087868,168491.2635999157
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=9e-05, TimeLimit=120",2024-04,37,26,11,0.7027027027027027,9.781447746133216,127182.90472194937,471.7001289642503
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=9e-05, TimeLimit=120",2024-05,38,25,13,0.6578947368421053,5.714227786251716,134450.42560293304,2861.727257604274
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=9e-05, TimeLimit=120",2024-06,35,24,11,0.6857142857142857,7.703612422696581,144807.96529204902,6615.21386184686
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=9e-05, TimeLimit=120",Overall,219,145,72,0.6621004566210046,44.80796529204902,144807.96529204902,0.0
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.0001, TimeLimit=120",2024-01,38,28,9,0.7368421052631579,15.09959823027793,115099.59823027793,0.0
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.0001, TimeLimit=120",2024-02,26,18,8,0.6923076923076923,6.097090334267323,122117.32470875673,0.0
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.0001, TimeLimit=120",2024-03,45,24,20,0.5333333333333333,-5.131397205779685,115850.99972087868,168491.2635999157
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.0001, TimeLimit=120",2024-04,37,26,11,0.7027027027027027,9.781447746133216,127182.90472194937,471.7001289642503
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.0001, TimeLimit=120",2024-05,38,25,13,0.6578947368421053,5.714227786251716,134450.42560293304,2861.727257604274
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.0001, TimeLimit=120",2024-06,35,24,11,0.6857142857142857,7.703612422696581,144807.96529204902,6615.21386184686
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.0001, TimeLimit=120",Overall,219,145,72,0.6621004566210046,44.80796529204902,144807.96529204902,0.0
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00011, TimeLimit=120",2024-01,38,28,9,0.7368421052631579,15.09959823027793,115099.59823027793,0.0
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00011, TimeLimit=120",2024-02,26,18,8,0.6923076923076923,6.097090334267323,122117.32470875673,0.0
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00011, TimeLimit=120",2024-03,45,24,20,0.5333333333333333,-5.131397205779685,115850.99972087868,168491.2635999157
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00011, TimeLimit=120",2024-04,37,26,11,0.7027027027027027,9.781447746133216,127182.90472194937,471.7001289642503
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00011, TimeLimit=120",2024-05,38,25,13,0.6578947368421053,5.714227786251716,134450.42560293304,2861.727257604274
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00011, TimeLimit=120",2024-06,35,24,11,0.6857142857142857,7.703612422696581,144807.96529204902,6615.21386184686
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00011, TimeLimit=120",Overall,219,145,72,0.6621004566210046,44.80796529204902,144807.96529204902,0.0
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00012, TimeLimit=120",2024-01,38,28,9,0.7368421052631579,15.09959823027793,115099.59823027793,0.0
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00012, TimeLimit=120",2024-02,26,18,8,0.6923076923076923,6.097090334267323,122117.32470875673,0.0
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00012, TimeLimit=120",2024-03,45,24,20,0.5333333333333333,-5.131397205779685,115850.99972087868,168491.2635999157
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00012, TimeLimit=120",2024-04,37,26,11,0.7027027027027027,9.781447746133216,127182.90472194937,471.7001289642503
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00012, TimeLimit=120",2024-05,38,25,13,0.6578947368421053,5.714227786251716,134450.42560293304,2861.727257604274
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00012, TimeLimit=120",2024-06,35,24,11,0.6857142857142857,7.703612422696581,144807.96529204902,6615.21386184686
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00012, TimeLimit=120",Overall,219,145,72,0.6621004566210046,44.80796529204902,144807.96529204902,0.0
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00013, TimeLimit=120",2024-01,38,28,9,0.7368421052631579,15.09959823027793,115099.59823027793,0.0
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00013, TimeLimit=120",2024-02,26,17,8,0.6538461538461539,5.088243199551642,120956.14570994131,0.0
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00013, TimeLimit=120",2024-03,45,24,20,0.5333333333333333,-5.131397205779661,114749.4054287626,166889.12797138933
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00013, TimeLimit=120",2024-04,37,26,11,0.7027027027027027,9.781447746133216,125973.55855977557,467.2148662482359
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00013, TimeLimit=120",2024-05,38,25,13,0.6578947368421053,5.714227786251688,133171.9746463283,2834.5159049170616
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00013, TimeLimit=120",2024-06,35,23,11,0.6571428571428571,6.679489325174911,142067.18247695445,6552.311669816772
"TP=0.0096, SL=0.014, Method=percentage_change, pctChange=0.00013, TimeLimit=120",Overall,219,143,72,0.6529680365296804,42.06718247695444,142067.18247695445,0.0
