Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,Max Drawdown,,
"TP=0.0093, SL=0.0162, Method=percentage_change, pctChange=0.0002",2024-01,38,29,9,0.763157895,12.91438888,112914.3889,705.066,,
"TP=0.0093, SL=0.0162, Method=percentage_change, pctChange=0.0002",2024-02,26,18,8,0.692307692,3.661971527,117049.2816,0,,
"TP=0.0093, SL=0.0162, Method=percentage_change, pctChange=0.0002",2024-03,45,25,20,0.555555556,-9.083397967,106417.2296,325418.3393,,
"TP=0.0093, SL=0.0162, Method=percentage_change, pctChange=0.0002",2024-04,37,26,11,0.702702703,6.292373529,113113.3992,1554.511589,,
"TP=0.0093, SL=0.0162, Method=percentage_change, pctChange=0.0002",2024-05,38,27,11,0.710526316,7.280892603,121349.0643,12842.2733,,
"TP=0.0093, SL=0.0162, Method=percentage_change, pctChange=0.0002",2024-06,35,23,11,0.657142857,3.381132475,125452.0369,5960.786859,,
"TP=0.0093, SL=0.0162, Method=percentage_change, pctChange=0.0002 ",Overall,219,148,70,0.675799087,25.4520369,125452.0369,705.066,,
"TP=0.0092, SL=0.0163, Method=percentage_change, pctChange=0.0003",2024-01,38,30,8,0.789473684,15.40340594,115403.4059,724.996,,
"TP=0.0092, SL=0.0163, Method=percentage_change, pctChange=0.0003",2024-02,26,18,8,0.692307692,3.393139879,119319.2049,0,,
"TP=0.0092, SL=0.0163, Method=percentage_change, pctChange=0.0003",2024-03,45,27,18,0.6,-4.739333705,113664.2696,228405.4036,,
"TP=0.0092, SL=0.0163, Method=percentage_change, pctChange=0.0003",2024-04,37,26,11,0.702702703,5.900417743,120370.9364,1829.80075,,
"TP=0.0092, SL=0.0163, Method=percentage_change, pctChange=0.0003",2024-05,38,28,10,0.736842105,9.645165031,131980.9118,6854.92672,,
"TP=0.0092, SL=0.0163, Method=percentage_change, pctChange=0.0003",2024-06,35,23,11,0.657142857,3.030533283,135980.6373,6666.273699,, 
"TP=0.0092, SL=0.0163, Method=percentage_change, pctChange=0.0003 ",Overall,219,152,66,0.694063927,35.98063728,135980.6373,724.996,,
"TP=0.0091, SL=0.0164, Method=percentage_change, pctChange=0.0004",2024-01,38,29,9,0.763157895,12.06207495,112062.075,744.924,,
"TP=0.0091, SL=0.0164, Method=percentage_change, pctChange=0.0004",2024-02,26,17,8,0.653846154,2.195004116,114521.8421,0,,
"TP=0.0091, SL=0.0164, Method=percentage_change, pctChange=0.0004",2024-03,45,27,18,0.6,-5.167559352,108603.8579,230421.5304,,
"TP=0.0091, SL=0.0164, Method=percentage_change, pctChange=0.0004",2024-04,37,26,11,0.702702703,5.509868375,114587.7876,1910.114429,,
"TP=0.0091, SL=0.0164, Method=percentage_change, pctChange=0.0004",2024-05,38,28,10,0.736842105,9.230261541,125164.5401,7181.069062,,
"TP=0.0091, SL=0.0164, Method=percentage_change, pctChange=0.0004",2024-06,35,23,11,0.657142857,2.681088226,128520.3118,6495.709358,,
"TP=0.0091, SL=0.0164, Method=percentage_change, pctChange=0.0004 ",Overall,219,150,67,0.684931507,28.5203118,128520.3118,744.924,,
"TP=0.009, SL=0.0165, Method=percentage_change, pctChange=0.0005",2024-01,38,29,9,0.763157895,11.63827034,111638.2703,764.85,,
"TP=0.009, SL=0.0165, Method=percentage_change, pctChange=0.0005",2024-02,26,17,8,0.653846154,1.940026012,113804.0818,0,,
"TP=0.009, SL=0.0165, Method=percentage_change, pctChange=0.0005",2024-03,45,27,18,0.6,-5.593902591,107437.9923,240073.8412,,
"TP=0.009, SL=0.0165, Method=percentage_change, pctChange=0.0005",2024-04,37,26,11,0.702702703,5.120720519,112939.5917,2049.545597,,
"TP=0.009, SL=0.0165, Method=percentage_change, pctChange=0.0005",2024-05,38,28,10,0.736842105,8.8168869,122897.3477,7866.150036,,
"TP=0.009, SL=0.0165, Method=percentage_change, pctChange=0.0005",2024-06,35,23,11,0.657142857,2.332793622,125764.2892,6548.578678,,
"TP=0.009, SL=0.0165, Method=percentage_change, pctChange=0.0005 ",Overall,219,150,67,0.684931507,25.76428922,125764.2892,764.85,,
"TP=0.0089, SL=0.0166, Method=percentage_change, pctChange=0.0006",2024-01,38,30,8,0.789473684,14.09990758,114099.9076,784.774,,
"TP=0.0089, SL=0.0166, Method=percentage_change, pctChange=0.0006",2024-02,26,17,8,0.653846154,1.685658692,116023.2426,0,,
"TP=0.0089, SL=0.0166, Method=percentage_change, pctChange=0.0006",2024-03,45,28,17,0.622222222,-3.581386024,111868.0024,219561.9718,,
"TP=0.0089, SL=0.0166, Method=percentage_change, pctChange=0.0006",2024-04,37,26,11,0.702702703,4.732969283,117162.6806,19201.43689,,
"TP=0.0089, SL=0.0166, Method=percentage_change, pctChange=0.0006",2024-05,38,29,9,0.763157895,11.21602648,130303.6779,461.9922901,,
"TP=0.0089, SL=0.0166, Method=percentage_change, pctChange=0.0006",2024-06,35,23,11,0.657142857,1.985645795,132891.0474,7123.980283,,
"TP=0.0089, SL=0.0166, Method=percentage_change, pctChange=0.0006 ",Overall,219,153,64,0.698630137,32.89104738,132891.0474,784.774,,
"TP=0.0088, SL=0.0167, Method=percentage_change, pctChange=0.0007",2024-01,38,30,8,0.789473684,13.66860241,113668.6024,804.696,,
"TP=0.0088, SL=0.0167, Method=percentage_change, pctChange=0.0007",2024-02,26,17,8,0.653846154,1.431900755,115296.224,0,,
"TP=0.0088, SL=0.0167, Method=percentage_change, pctChange=0.0007",2024-03,45,28,17,0.622222222,-4.014700227,110667.4262,229499.85,,
"TP=0.0088, SL=0.0167, Method=percentage_change, pctChange=0.0007",2024-04,37,26,11,0.702702703,4.346609796,115477.7074,22614.36864,,
"TP=0.0088, SL=0.0167, Method=percentage_change, pctChange=0.0007",2024-05,38,30,8,0.789473684,13.66860241,131261.8961,0,,
"TP=0.0088, SL=0.0167, Method=percentage_change, pctChange=0.0007",2024-06,35,23,11,0.657142857,1.639641085,133414.1201,7358.400829,,
"TP=0.0088, SL=0.0167, Method=percentage_change, pctChange=0.0007 ",Overall,219,154,63,0.703196347,33.41412009,133414.1201,804.696,,
"TP=0.0087, SL=0.0168, Method=percentage_change, pctChange=0.0008",2024-01,38,30,8,0.789473684,13.23888485,113238.8848,824.616,,
"TP=0.0087, SL=0.0168, Method=percentage_change, pctChange=0.0008",2024-02,26,17,8,0.653846154,1.178750801,114573.6891,0,,
"TP=0.0087, SL=0.0168, Method=percentage_change, pctChange=0.0008",2024-03,45,29,16,0.644444444,-1.967851226,112319.0494,163521.7919,,
"TP=0.0087, SL=0.0168, Method=percentage_change, pctChange=0.0008",2024-04,37,25,12,0.675675676,1.333480414,113816.8019,45366.82376,,
"TP=0.0087, SL=0.0168, Method=percentage_change, pctChange=0.0008",2024-05,38,31,7,0.815789474,16.17581687,132227.5993,0,,
"TP=0.0087, SL=0.0168, Method=percentage_change, pctChange=0.0008",2024-06,35,23,11,0.657142857,1.294775841,133939.6503,7595.856464,,
"TP=0.0087, SL=0.0168, Method=percentage_change, pctChange=0.0008 ",Overall,219,155,62,0.707762557,33.93965034,133939.6503,824.616,,
"TP=0.0086, SL=0.0169, Method=percentage_change, pctChange=0.0009",2024-01,38,30,8,0.789473684,12.81074921,112810.7492,844.534,,
"TP=0.0086, SL=0.0169, Method=percentage_change, pctChange=0.0009",2024-02,26,17,8,0.653846154,0.926207434,113855.6108,0,,
"TP=0.0086, SL=0.0169, Method=percentage_change, pctChange=0.0009",2024-03,45,29,16,0.644444444,-2.408253881,111113.6786,173837.1035,,
"TP=0.0086, SL=0.0169, Method=percentage_change, pctChange=0.0009",2024-04,37,25,12,0.675675676,0.959327447,112179.6226,51549.05228,,
"TP=0.0086, SL=0.0169, Method=percentage_change, pctChange=0.0009",2024-05,38,31,7,0.815789474,15.73687484,129833.1894,0,,
"TP=0.0086, SL=0.0169, Method=percentage_change, pctChange=0.0009",2024-06,35,23,11,0.657142857,0.951046425,131067.9633,7638.256963,,
"TP=0.0086, SL=0.0169, Method=percentage_change, pctChange=0.0009 ",Overall,219,155,62,0.707762557,31.06796331,131067.9633,844.534,,
"TP=0.0085, SL=0.017, Method=percentage_change, pctChange=0.001",2024-01,38,29,9,0.763157895,9.542546952,109542.547,886.247825,,
"TP=0.0085, SL=0.017, Method=percentage_change, pctChange=0.001",2024-02,26,17,8,0.653846154,0.674269261,110281.1587,190.8774689,,
"TP=0.0085, SL=0.017, Method=percentage_change, pctChange=0.001",2024-03,45,30,15,0.666666667,-0.326468944,109921.1249,84121.24104,,
"TP=0.0085, SL=0.017, Method=percentage_change, pctChange=0.001",2024-04,37,25,12,0.675675676,0.586518754,110565.833,57913.00306,,
"TP=0.0085, SL=0.017, Method=percentage_change, pctChange=0.001",2024-05,38,31,7,0.815789474,15.29954775,127481.9054,0,,
"TP=0.0085, SL=0.017, Method=percentage_change, pctChange=0.001",2024-06,35,23,11,0.657142857,0.608449207,128257.568,7732.136937,,
"TP=0.0085, SL=0.017, Method=percentage_change, pctChange=0.001 ",Overall,219,155,62,0.707762557,28.25756801,128257.568,886.247825,,
"TP=0.0084, SL=0.0171, Method=percentage_change, pctChange=0.0011",2024-01,38,29,9,0.763157895,9.128023324,109128.0233,936.1566576,,
"TP=0.0084, SL=0.0171, Method=percentage_change, pctChange=0.0011",2024-02,26,17,8,0.653846154,0.422934892,109589.5638,451.3436219,,
"TP=0.0084, SL=0.0171, Method=percentage_change, pctChange=0.0011",2024-03,45,31,14,0.688888889,1.800201607,111562.3969,17020.62474,,
"TP=0.0084, SL=0.0171, Method=percentage_change, pctChange=0.0011",2024-04,37,26,11,0.702702703,2.814992426,114702.8699,7376.182239,,
"TP=0.0084, SL=0.0171, Method=percentage_change, pctChange=0.0011",2024-05,38,31,7,0.815789474,14.86382984,131752.1093,0,,
"TP=0.0084, SL=0.0171, Method=percentage_change, pctChange=0.0011",2024-06,35,23,11,0.657142857,0.266980572,132103.8619,8252.648428,,
"TP=0.0084, SL=0.0171, Method=percentage_change, pctChange=0.0011 ",Overall,219,157,60,0.716894977,32.10386186,132103.8619,936.1566576,,
"TP=0.0083, SL=0.0172, Method=percentage_change, pctChange=0.0012",2024-01,38,29,9,0.763157895,8.715027176,108715.0272,986.0574908,,
"TP=0.0083, SL=0.0172, Method=percentage_change, pctChange=0.0012",2024-02,26,17,8,0.653846154,0.17220294,108902.2376,709.2375805,,
"TP=0.0083, SL=0.0172, Method=percentage_change, pctChange=0.0012",2024-03,45,31,14,0.688888889,1.343255719,110365.0732,18729.352,,
"TP=0.0083, SL=0.0172, Method=percentage_change, pctChange=0.0012",2024-04,37,26,11,0.702702703,2.435519148,113053.0357,9522.255254,,
"TP=0.0083, SL=0.0172, Method=percentage_change, pctChange=0.0012",2024-05,38,32,6,0.842105263,17.3987403,132722.8397,0,,
"TP=0.0083, SL=0.0172, Method=percentage_change, pctChange=0.0012",2024-06,35,21,12,0.6,-3.402278042,128207.2397,9059.285809,,
"TP=0.0083, SL=0.0172, Method=percentage_change, pctChange=0.0012 ",Overall,219,156,60,0.712328767,28.20723972,128207.2397,986.0574908,,
