Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,Max Drawdown
"TP=0.0091, SL=0.016, Method=time_offset, pctChange=None",2024-01,38,30,8,0.7894736842105263,15.3418658716723,115341.8658716723,0.0
"TP=0.0091, SL=0.016, Method=time_offset, pctChange=None",2024-02,27,19,8,0.7037037037037037,4.402453468402529,120419.73784625993,0.0
"TP=0.0091, SL=0.016, Method=time_offset, pctChange=None",2024-03,44,25,19,0.5681818181818182,-7.687178637717085,111162.85748294732,294705.2857341404
"TP=0.0091, SL=0.016, Method=time_offset, pctChange=None",2024-04,37,26,11,0.7027027027027027,5.982813211975515,117813.5236072466,1686.158606186771
"TP=0.0091, SL=0.016, Method=time_offset, pctChange=None",2024-05,38,27,11,0.7105263157894737,6.947256812204526,125998.33165174923,13855.696247829226
"TP=0.0091, SL=0.016, Method=time_offset, pctChange=None",2024-06,35,25,10,0.7142857142857143,6.734824088574008,134484.0976430326,6185.178423586956
"TP=0.0091, SL=0.016, Method=time_offset, pctChange=None ",Overall,219,152,67,0.6940639269406392,34.48409764303261,134484.0976430326,0.0
"TP=0.0092, SL=0.016, Method=time_offset, pctChange=None",2024-01,38,30,8,0.7894736842105263,15.685264217015515,115685.26421701552,0.0
"TP=0.0092, SL=0.016, Method=time_offset, pctChange=None",2024-02,27,19,8,0.7037037037037037,4.5992047113104935,121005.86633917649,0.0
"TP=0.0092, SL=0.016, Method=time_offset, pctChange=None",2024-03,44,25,19,0.5681818181818182,-7.458205589379655,111981.00005239075,290123.7105923245
"TP=0.0092, SL=0.016, Method=time_offset, pctChange=None",2024-04,37,26,11,0.7027027027027027,6.256222114047334,118986.78014119978,1599.3845414915122
"TP=0.0092, SL=0.016, Method=time_offset, pctChange=None",2024-05,38,27,11,0.7105263157894737,7.233779357496585,127594.02128120374,13216.139570511572
"TP=0.0092, SL=0.016, Method=time_offset, pctChange=None",2024-06,35,25,10,0.7142857142857143,6.999569523440591,136525.05350853517,6175.920917979674
"TP=0.0092, SL=0.016, Method=time_offset, pctChange=None ",Overall,219,152,67,0.6940639269406392,36.52505350853517,136525.05350853517,0.0
"TP=0.0093, SL=0.016, Method=time_offset, pctChange=None",2024-01,38,30,8,0.7894736842105263,16.02965075833301,116029.65075833301,0.0
"TP=0.0093, SL=0.016, Method=time_offset, pctChange=None",2024-02,27,19,8,0.7037037037037037,4.796307191090956,121594.78924145266,0.0
"TP=0.0093, SL=0.016, Method=time_offset, pctChange=None",2024-03,44,25,19,0.5681818181818182,-7.228687367384714,112805.0820721577,285480.68140698725
"TP=0.0093, SL=0.016, Method=time_offset, pctChange=None",2024-04,37,26,11,0.7027027027027027,6.530309146871971,120171.60266485225,1511.2055250051926
"TP=0.0093, SL=0.016, Method=time_offset, pctChange=None",2024-05,38,27,11,0.7105263157894737,7.521041021937924,129209.75819799604,12561.774552643314
"TP=0.0093, SL=0.016, Method=time_offset, pctChange=None",2024-06,35,25,10,0.7142857142857143,7.264945304271843,138596.77645886235,6165.419147846827
"TP=0.0093, SL=0.016, Method=time_offset, pctChange=None ",Overall,219,152,67,0.6940639269406392,38.59677645886235,138596.77645886235,0.0
"TP=0.0094, SL=0.016, Method=time_offset, pctChange=None",2024-01,38,30,8,0.7894736842105263,16.375028241020512,116375.02824102051,0.0
"TP=0.0094, SL=0.016, Method=time_offset, pctChange=None",2024-02,27,19,8,0.7037037037037037,4.993761499872623,122186.51959678649,0.0
"TP=0.0094, SL=0.016, Method=time_offset, pctChange=None",2024-03,44,25,19,0.5681818181818182,-6.998622727908355,113635.14606584559,280775.65212815185
"TP=0.0094, SL=0.016, Method=time_offset, pctChange=None",2024-04,37,26,11,0.7027027027027027,6.805075924965559,121368.1040330719,1421.6055197172682
"TP=0.0094, SL=0.016, Method=time_offset, pctChange=None",2024-05,38,27,11,0.7105263157894737,7.809043638660243,130845.79224042904,11892.364542896263
"TP=0.0094, SL=0.016, Method=time_offset, pctChange=None",2024-06,35,25,10,0.7142857142857143,7.530952869213945,140699.72718540535,6153.643194192657
"TP=0.0094, SL=0.016, Method=time_offset, pctChange=None ",Overall,219,152,67,0.6940639269406392,40.69972718540535,140699.72718540535,0.0
"TP=0.0095, SL=0.016, Method=time_offset, pctChange=None",2024-01,38,30,8,0.7894736842105263,16.721399417827413,116721.39941782742,0.0
"TP=0.0095, SL=0.016, Method=time_offset, pctChange=None",2024-02,27,19,8,0.7037037037037037,5.191568230723667,122781.07050845942,0.0
"TP=0.0095, SL=0.016, Method=time_offset, pctChange=None",2024-03,44,25,19,0.5681818181818182,-6.768010424412586,114471.23485724152,276008.0725268927
"TP=0.0095, SL=0.016, Method=time_offset, pctChange=None",2024-04,37,26,11,0.7027027027027027,7.08052406652766,122576.3981905599,1330.5683298877411
"TP=0.0095, SL=0.016, Method=time_offset, pctChange=None",2024-05,38,27,11,0.7105263157894737,8.097789045159644,132502.37633518633,11275.869463852388
"TP=0.0095, SL=0.016, Method=time_offset, pctChange=None",2024-06,35,25,10,0.7142857142857143,7.797593659550965,142834.37323105318,6140.562585470732
"TP=0.0095, SL=0.016, Method=time_offset, pctChange=None ",Overall,219,152,67,0.6940639269406392,42.83437323105318,142834.37323105318,0.0
"TP=0.0096, SL=0.016, Method=time_offset, pctChange=None",2024-01,38,28,10,0.7368421052631579,11.207110734253932,111207.11073425393,0.0
"TP=0.0096, SL=0.016, Method=time_offset, pctChange=None",2024-02,27,19,8,0.7037037037037037,5.389727977652882,117200.87149463744,0.0
"TP=0.0096, SL=0.016, Method=time_offset, pctChange=None",2024-03,44,25,19,0.5681818181818182,-6.536849207639564,109539.62725499357,257599.4827193257
"TP=0.0096, SL=0.016, Method=time_offset, pctChange=None",2024-04,37,25,12,0.6756756756756757,4.634457914375832,114616.1951796904,1176.0868093785975
"TP=0.0096, SL=0.016, Method=time_offset, pctChange=None",2024-05,38,27,11,0.7105263157894737,8.387279083306122,124229.3753440779,9928.410177415877
"TP=0.0096, SL=0.016, Method=time_offset, pctChange=None",2024-06,35,25,10,0.7142857142857143,8.064869119712016,134248.31187381357,5671.848642609271
"TP=0.0096, SL=0.016, Method=time_offset, pctChange=None ",Overall,219,149,70,0.680365296803653,34.24831187381357,134248.31187381357,0.0
"TP=0.0097, SL=0.016, Method=time_offset, pctChange=None",2024-01,38,28,10,0.7368421052631579,11.515942581979326,111515.94258197933,0.0
"TP=0.0097, SL=0.016, Method=time_offset, pctChange=None",2024-02,27,18,9,0.6666666666666666,2.90069275452273,114750.67744859253,0.0
"TP=0.0097, SL=0.016, Method=time_offset, pctChange=None",2024-03,44,25,19,0.5681818181818182,-6.305137825606066,107515.48907964211,246463.00170980464
"TP=0.0097, SL=0.016, Method=time_offset, pctChange=None",2024-04,37,24,13,0.6486486486486487,2.223990361804144,109906.62319421994,16110.792850314552
"TP=0.0097, SL=0.016, Method=time_offset, pctChange=None",2024-05,38,27,11,0.7105263157894737,8.677515599353992,119443.78756662158,8930.05019215672
"TP=0.0097, SL=0.016, Method=time_offset, pctChange=None",2024-06,35,25,10,0.7142857142857143,8.33278069727719,129396.7764410698,5371.315970710784
"TP=0.0097, SL=0.016, Method=time_offset, pctChange=None ",Overall,219,147,72,0.6712328767123288,29.3967764410698,129396.7764410698,0.0
