Datetime,Signal
4/18/2023 14:58,-2
4/18/2023 18:58,-2
4/18/2023 22:58,-2
4/19/2023 10:58,2
4/19/2023 14:58,2
4/20/2023 16:58,-2
4/21/2023 18:58,-2
4/22/2023 18:58,2
4/24/2023 15:58,-2
4/24/2023 18:58,-2
4/25/2023 2:58,2
4/25/2023 6:58,2
4/26/2023 10:58,2
4/26/2023 12:58,2
4/26/2023 18:58,-2
4/27/2023 6:58,2
4/28/2023 2:58,-2
4/28/2023 10:58,2
4/28/2023 22:58,2
4/30/2023 2:58,-2
4/30/2023 14:58,-2
5/1/2023 2:58,2
5/2/2023 17:58,-2
5/2/2023 22:58,2
5/3/2023 14:58,-2
5/4/2023 2:58,-2
5/5/2023 2:58,2
5/5/2023 6:58,2
5/6/2023 18:58,2
5/8/2023 6:58,2
5/9/2023 14:58,2
5/9/2023 22:58,-2
5/10/2023 22:58,2
5/13/2023 6:58,2
5/13/2023 23:58,-2
5/14/2023 10:58,2
5/16/2023 2:58,-2
5/16/2023 11:58,2
5/18/2023 2:58,-2
5/18/2023 10:58,2
5/19/2023 10:58,-2
5/20/2023 5:58,2
5/21/2023 2:58,2
5/21/2023 14:58,2
5/21/2023 22:58,-2
5/22/2023 2:58,-2
5/23/2023 6:58,-2
5/24/2023 10:58,2
5/25/2023 22:58,2
5/26/2023 2:58,2
5/26/2023 14:58,-2
5/26/2023 18:58,-2
5/27/2023 2:58,2
5/27/2023 6:58,2
5/27/2023 18:58,-2
5/29/2023 1:58,-2
5/30/2023 9:58,-2
5/30/2023 14:58,2
5/31/2023 6:58,-2
5/31/2023 10:58,2
6/1/2023 22:58,-2
6/2/2023 10:58,-2
6/2/2023 18:58,2
6/3/2023 2:58,-2
6/3/2023 18:58,2
6/3/2023 22:58,2
6/4/2023 10:58,-2
6/5/2023 10:58,2
6/5/2023 18:58,2
6/6/2023 1:58,2
6/6/2023 9:58,2
6/6/2023 20:58,-2
6/8/2023 9:58,2
6/9/2023 0:58,-2
6/9/2023 6:58,2
6/9/2023 10:58,2
6/9/2023 18:58,-2
6/10/2023 14:58,2
6/11/2023 15:58,-2
6/11/2023 22:58,-2
6/12/2023 2:58,-2
6/12/2023 22:58,-2
6/13/2023 22:58,2
6/14/2023 23:58,2
6/15/2023 11:58,-2
6/16/2023 18:58,-2
6/18/2023 2:58,2
6/18/2023 18:58,2
6/19/2023 2:58,-2
6/20/2023 4:58,-2
6/20/2023 18:58,2
6/21/2023 2:58,2
6/21/2023 10:58,-2
6/22/2023 2:58,-2
6/23/2023 10:58,-2
6/24/2023 2:58,2
6/25/2023 2:58,-2
6/25/2023 6:58,-2
6/26/2023 4:58,2
6/26/2023 18:58,2
6/27/2023 2:58,2
6/27/2023 14:58,-2
6/27/2023 22:58,2
6/28/2023 2:58,2
6/29/2023 10:58,-2
6/30/2023 18:58,2
7/2/2023 8:58,-2
7/2/2023 18:58,-2
7/2/2023 23:58,2
7/3/2023 10:58,-2
7/4/2023 10:58,2
7/5/2023 2:58,2
7/5/2023 6:58,2
7/6/2023 11:58,-2
7/6/2023 18:58,2
7/7/2023 17:58,2
7/7/2023 20:58,-2
7/8/2023 10:58,-2
7/9/2023 2:58,2
