"",Datetime,Side,Signal Open Price,Entry Price,TP Price,SL Price,Result,Duration,Execution Latency,ROI,NAV,Ignore Reason,Daily Return
0,2024-06-01 01:00:00,Sell,67572.6,67653.68712,66774.189187,68600.838740,-1,47:46:00,00:16:00,-1.469010,98530.989860,"",-1.469010
1,2024-06-02 00:00:00,Buy,67837.2,67755.79536,68636.620700,66807.214225,1,24:05:00,01:05:00,1.229100,99742.034384,"",1.229100
2,2024-06-02 17:00:00,Sell,68004.7,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0.000000,99742.034384,"Two open trades, last one with different side",1.229100
3,2024-06-03 03:00:00,Sell,68524.8,68607.02976,67715.138373,69567.528177,-1,07:44:00,01:04:00,-1.469010,98276.813786,"",-1.469010
4,2024-06-04 02:00:00,Buy,69145.0,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0.000000,98276.813786,"",0.000000
5,2024-06-05 01:00:00,Sell,71162.0,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0.000000,98276.813786,"",0.000000
6,2024-06-06 00:00:00,Buy,71048.0,70962.74240,71885.258051,69969.264006,1,34:53:00,00:17:00,1.229100,99484.734232,"",0.977837
7,2024-06-06 04:00:00,Buy,71110.0,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0.000000,99484.734232,One open trade with the same side,0.977837
8,2024-06-06 09:00:00,Sell,70983.4,71068.58008,70144.688539,72063.540201,ended before data with loss,09:02:00,01:10:00,-0.248213,99237.800556,"",0.977837
9,2024-06-07 05:00:00,Buy,71471.6,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0.000000,99237.800556,One open trade with the same side,-1.469010
10,2024-06-07 18:00:00,Sell,69156.0,69238.98720,68338.880366,70208.333021,-1,69:01:00,00:03:00,-1.469010,97779.987203,"",-1.469010
11,2024-06-08 00:00:00,Buy,69466.7,69383.33996,70285.323379,68411.973201,-1,73:06:00,00:22:00,-1.469010,96343.589276,"",-1.469010
12,2024-06-10 07:00:00,Sell,69356.0,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0.000000,96343.589276,"Two open trades, last one with different side",0.000000
13,2024-06-10 09:00:00,Sell,69478.5,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0.000000,96343.589276,"Two open trades, last one with different side",0.000000
14,2024-06-11 13:00:00,Buy,66840.1,66759.89188,67627.770474,65825.253394,1,19:59:00,00:05:00,1.229100,97527.748457,"",-0.257966
15,2024-06-11 16:00:00,Sell,66581.6,66661.49792,65794.898447,67594.758891,-1,05:19:00,01:00:00,-1.469010,96095.055943,"",-0.257966
16,2024-06-13 05:00:00,Buy,67580.9,67499.80292,68377.300358,66554.805679,1,06:26:00,00:14:00,1.229100,97276.160400,"",2.473307
17,2024-06-13 17:00:00,Sell,66856.4,66936.62768,66066.451520,67873.740468,1,22:18:00,00:00:00,1.229100,98471.781814,"",2.473307
18,2024-06-14 17:00:00,Sell,65400.0,65478.48000,64627.259760,66395.178720,-1,02:44:00,01:02:00,-1.469010,97025.221354,"",-1.469010
