Date,TP,SL,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,,average winrate first week,average winrate second week,average winrate 3rd week,average winrate 4th week
2024-01-02 to 2024-01-07,0.012,0.01,6,3,3,0.5,0.14348632,100143.4863,,0.534013605,0.520238095,0.515022676,0.500510204
2024-01-09 to 2024-01-14,0.012,0.01,6,3,3,0.5,0.14348632,100143.4863,,,,,
2024-01-16 to 2024-01-21,0.012,0.01,7,5,2,0.714285714,3.524816126,103524.8161,,,,,
2024-01-23 to 2024-01-28,0.012,0.01,4,2,2,0.5,0.095634685,100095.6347,,,,,
2024-01-30 to 2024-02-04,0.012,0.01,3,0,3,0,-3.173691121,96826.30888,,,,,
2024-02-06 to 2024-02-11,0.012,0.01,2,1,1,0.5,0.047805916,100047.8059,,,,,
2024-02-13 to 2024-02-18,0.012,0.01,5,2,3,0.4,-0.974678027,99025.32197,,,,,
2024-02-20 to 2024-02-25,0.012,0.01,5,3,2,0.6,1.225884684,101225.8847,,,,,
2024-02-27 to 2024-03-03,0.012,0.01,7,4,3,0.571428571,1.274276645,101274.2766,,,,,
2024-03-05 to 2024-03-10,0.012,0.01,4,1,3,0.25,-2.080357373,97919.64263,,,,,
2024-03-12 to 2024-03-17,0.012,0.01,10,6,4,0.6,2.4667973,102466.7973,,,,,
2024-03-19 to 2024-03-24,0.012,0.01,8,4,4,0.5,0.191360831,100191.3608,,,,,
2024-03-26 to 2024-03-31,0.012,0.01,8,5,3,0.625,2.417835516,102417.8355,,,,,
2024-04-02 to 2024-04-07,0.012,0.01,5,3,2,0.6,1.225884684,101225.8847,,,,,
2024-04-09 to 2024-04-14,0.012,0.01,8,6,2,0.75,4.693787416,104693.7874,,,,,
2024-04-16 to 2024-04-21,0.012,0.01,8,3,5,0.375,-1.986712231,98013.28777,,,,,
2024-04-23 to 2024-04-28,0.012,0.01,7,3,4,0.428571429,-0.927338065,99072.66194,,,,,
2024-04-30 to 2024-05-05,0.012,0.01,5,4,1,0.8,3.475348788,103475.3488,,,,,
2024-05-07 to 2024-05-12,0.012,0.01,8,3,5,0.375,-1.986712231,98013.28777,,,,,
2024-05-14 to 2024-05-19,0.012,0.01,9,4,5,0.444444444,-0.879975472,99120.02453,,,,,
2024-05-21 to 2024-05-26,0.012,0.01,5,3,2,0.6,1.225884684,101225.8847,,,,,
2024-05-28 to 2024-06-02,0.012,0.01,5,3,2,0.6,1.225884684,101225.8847,,,,,
2024-06-04 to 2024-06-09,0.012,0.01,5,3,2,0.6,1.225884684,101225.8847,,,,,
2024-06-11 to 2024-06-16,0.012,0.01,6,3,3,0.5,0.14348632,100143.4863,,,,,
2024-06-18 to 2024-06-23,0.012,0.01,6,3,3,0.5,0.14348632,100143.4863,,,,,
2024-06-25 to 2024-06-30,0.012,0.01,7,4,3,0.571428571,1.274276645,101274.2766,,,,,
2024-07-02 to 2024-07-07,0.012,0.01,6,4,2,0.666666667,2.368897127,102368.8971,,,,,
2024-07-09 to 2024-07-14,0.012,0.01,6,4,2,0.666666667,2.368897127,102368.8971,,,,,
2024-07-16 to 2024-07-21,0.012,0.01,7,4,3,0.571428571,1.274276645,101274.2766,,,,,
2024-07-23 to 2024-07-28,0.012,0.01,8,3,5,0.375,-1.986712231,98013.28777,,,,,
