Datetime,Signal,events,event_datetimes
2024-01-01 00:00:00,-2,,
2024-01-01 16:00:00,2,,
2024-01-02 00:00:00,-2,Atlanta Fed GDPNow (Q4),2024-01-02 18:00:00
2024-01-02 22:00:00,2,Atlanta Fed GDPNow (Q4),2024-01-02 18:00:00
2024-01-05 00:00:00,2,"Unemployment Rate (Dec), Nonfarm Payrolls (Dec), Average Hourly Earnings (YoY) (YoY) (Dec), Average Hourly Earnings (MoM) (Dec), ISM Non-Manufacturing PMI (Dec)","2024-01-05 13:30:00, 2024-01-05 15:00:00"
2024-01-06 00:00:00,2,,
2024-01-06 20:00:00,2,,
2024-01-07 00:00:00,-2,,
2024-01-07 04:00:00,-2,,
2024-01-07 23:00:00,2,,
2024-01-08 20:00:00,-2,,
2024-01-11 16:00:00,-2,"CPI (MoM) (Dec), Core CPI Index (Dec), Core CPI (MoM) (Dec), Core CPI (YoY) (Dec), CPI (YoY) (Dec)",2024-01-11 13:30:00
2024-01-12 16:00:00,-2,,
2024-01-14 01:00:00,-2,,
2024-01-15 00:00:00,-2,,
2024-01-15 16:00:00,-2,,
2024-01-15 22:00:00,2,,
2024-01-16 16:00:00,2,,
2024-01-17 00:00:00,2,"Core Retail Sales (MoM) (Dec), Retail Sales (YoY) (Dec), Retail Sales (MoM) (Dec), Atlanta Fed GDPNow (Q4)","2024-01-17 13:30:00, 2024-01-17 18:00:00"
2024-01-19 04:00:00,2,,
2024-01-20 00:00:00,-2,,
2024-01-20 08:00:00,2,,
2024-01-22 17:00:00,-2,,
2024-01-23 16:00:00,-2,,
2024-01-24 16:00:00,2,,
2024-01-26 00:00:00,-2,"Core PCE Price Index (YoY) (Dec), Core PCE Price Index (MoM) (Dec), PCE Price index (YoY) (Dec), PCE price index (MoM) (Dec), Atlanta Fed GDPNow (Q1)","2024-01-26 13:30:00, 2024-01-26 16:30:00"
2024-01-27 00:00:00,2,,
2024-01-28 00:00:00,2,,
2024-01-28 16:00:00,-2,,
2024-01-30 08:00:00,-2,,
2024-01-30 16:00:00,2,,
2024-01-31 16:00:00,-2,Fed Interest Rate Decision,2024-01-31 19:00:00
2024-02-01 04:00:00,2,"ISM Manufacturing PMI (Jan), Atlanta Fed GDPNow (Q1), FOMC Press Conference","2024-02-01 15:00:00, 2024-02-01 17:45:00, 2024-02-01 19:30:00"
2024-02-03 00:00:00,-2,,
2024-02-05 08:00:00,-2,ISM Non-Manufacturing PMI (Jan),2024-02-05 15:00:00
2024-02-07 08:00:00,2,Atlanta Fed GDPNow (Q1),2024-02-07 16:30:00
2024-02-08 00:00:00,-2,Atlanta Fed GDPNow (Q1),2024-02-08 18:00:00
2024-02-09 09:00:00,2,,
2024-02-10 22:00:00,-2,,
2024-02-11 21:00:00,2,,
2024-02-13 00:00:00,-2,"Core CPI (MoM) (Jan), CPI (YoY) (Jan), Core CPI Index (Jan), Core CPI (YoY) (Jan), CPI (MoM) (Jan)",2024-02-13 13:30:00
2024-02-14 00:00:00,2,,
2024-02-14 10:00:00,-2,,
