Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,Max Drawdown
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-01,27,16,11,0.5925925925925926,-0.22182992270955584,99778.17007729044,13690.643823330014
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-02,18,12,6,0.6666666666666666,3.0513279141898253,102822.7292331266,856.8498284072557
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-03,33,24,9,0.7272727272727273,10.78384649051895,113910.97451098893,466.2393834346876
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-04,33,23,10,0.696969696969697,8.194208240542451,123245.0769712506,1030.6937467760145
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-05,26,18,8,0.6923076923076923,6.097090334267306,130759.44064672502,12276.112510092338
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-06,25,16,9,0.64,2.631743061368754,134200.6931530298,12664.993105744274
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",Overall,162,109,53,0.6728395061728395,34.2006931530298,134200.6931530298,13690.643823330014
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=30",2024-01,27,16,11,0.5925925925925926,-0.22182992270955584,99778.17007729044,13690.643823330014
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=30",2024-02,18,12,6,0.6666666666666666,3.0513279141898253,102822.7292331266,856.8498284072557
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=30",2024-03,33,24,9,0.7272727272727273,10.78384649051895,113910.97451098893,466.2393834346876
