Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,Max Drawdown
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-01,24,14,10,0.5833333333333334,-0.720418904713646,99279.58109528635,8987.73938139966
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-02,15,10,5,0.6666666666666666,2.53638304559677,101797.6915579267,4437.4441362382495
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-03,29,22,7,0.7586206896551724,11.795397994896216,113805.13442680101,461.5914526002598
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-04,31,22,9,0.7096774193548387,8.687038749046135,123691.43055286126,0.0
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-05,22,15,7,0.6818181818181818,4.563119917005176,129335.6188560475,20908.777054858787
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-06,23,16,7,0.6956521739130435,5.566925868208363,136535.63687895218,1172.9188602817303
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",Overall,144,99,45,0.6875,36.53563687895218,136535.63687895218,11674.703732848648
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0009, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-01,24,14,10,0.5833333333333334,-0.720418904713646,99279.58109528635,8987.73938139966
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0009, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-02,15,10,5,0.6666666666666666,2.53638304559677,101797.6915579267,4437.4441362382495
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0009, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-03,29,22,7,0.7586206896551724,11.795397994896216,113805.13442680101,461.5914526002598
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0009, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-04,31,22,9,0.7096774193548387,8.687038749046135,123691.43055286126,0.0
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0009, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-05,22,15,7,0.6818181818181818,4.563119917005176,129335.6188560475,20908.777054858787
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0009, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-06,22,15,7,0.6818181818181818,4.563119917005113,135237.35823984962,1172.9188602817303
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0009, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",Overall,143,98,45,0.6853146853146853,35.23735823984962,135237.35823984962,11674.703732848648
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.001, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-01,24,14,10,0.5833333333333334,-0.720418904713646,99279.58109528635,9939.053071751696
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.001, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-02,15,10,5,0.6666666666666666,2.53638304559677,101797.6915579267,4437.4441362382495
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.001, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-03,29,22,7,0.7586206896551724,11.795397994896216,113805.13442680101,461.5914526002598
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.001, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-04,30,21,9,0.7,7.653564529562338,122515.2838281114,516.0380015448754
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.001, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-05,22,15,7,0.6818181818181818,4.563119917005167,128105.80314584736,20709.961425177156
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.001, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-06,20,13,7,0.65,2.584051972895744,131416.12367943156,1440.0970983792504
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.001, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",Overall,140,95,45,0.6785714285714286,31.416123679431564,131416.12367943156,11674.703732848648
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.002, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-01,20,13,7,0.65,2.58405197289573,102584.05197289573,4160.319999999963
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.002, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-02,12,8,4,0.6666666666666666,2.02401134343501,104660.3648213824,4585.142230422818
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.002, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-03,22,16,6,0.7272727272727273,7.065847736519669,112055.50684014728,474.57195824607334
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.002, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-04,23,16,7,0.6956521739130435,5.566925868208423,118293.5538371835,0.0
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.002, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-05,16,10,6,0.625,1.100873682958414,119595.8164400133,5759.520788783964
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.002, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-06,13,8,5,0.6153846153846154,0.5956751846269046,120308.2190403984,0.0
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.002, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",Overall,106,71,35,0.6698113207547169,20.3082190403984,120308.2190403984,4160.319999999963
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.003, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-01,15,11,4,0.7333333333333333,4.990600733097846,104990.60073309785,0.0
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.003, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-02,8,5,3,0.625,0.5489302195495093,105566.92586820839,7719.937287584238
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.003, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-03,17,12,5,0.7058823529411765,4.514531353133693,110332.77783506806,0.0
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.003, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-04,21,14,7,0.6666666666666666,3.5688588718355216,114270.39896537746,0.0
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.003, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-05,14,9,5,0.6428571428571429,1.5613936663992882,116054.60973739206,1395.7936157296062
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.003, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-06,10,5,5,0.5,-2.246732236274847,113447.17340873911,19270.36694188739
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.003, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",Overall,85,56,29,0.6588235294117647,13.447173408739108,113447.17340873911,0.0
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.004, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-01,13,12,1,0.9230769230769231,10.578073089135433,110578.07308913543,0.0
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.004, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-02,4,2,2,0.5,-0.9048239216639995,109577.53623170983,17835.46410592583
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.004, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-03,14,9,5,0.6428571428571429,1.5613936663993297,111288.47294222818,22971.706729028374
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.004, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-04,17,11,6,0.6470588235294118,2.0714420703148098,113593.74919016441,0.0
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.004, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-05,11,7,4,0.6363636363636364,1.0538939614054732,114790.90685341363,10154.47306880608
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.004, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-06,8,4,4,0.5,-1.8014607800358466,112722.9936874019,11125.856444067787
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.004, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",Overall,67,45,22,0.6716417910447762,12.722993687401903,112722.9936874019,0.0
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.005, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-01,12,11,1,0.9166666666666666,9.526617560554108,109526.6175605541,0.0
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.005, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-02,4,1,3,0.25,-3.2212325542399953,105998.5105001356,25277.12380967177
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.005, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-03,13,9,4,0.6923076923076923,3.0034418523319664,109182.11412734516,959.0998796127387
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.005, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-04,14,10,4,0.7142857142857143,3.992274894114366,113540.96425851446,0.0
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.005, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-05,10,8,2,0.8,4.941813526732233,119151.94698862394,0.0
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.005, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-06,8,4,4,0.5,-1.801460780035841,117005.47139497478,11548.540677699042
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.005, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",Overall,61,43,18,0.7049180327868853,17.005471394974784,117005.47139497478,0.0
