Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,Max Drawdown
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-01,24,14,10,0.5833333333333334,-0.720418904713646,99279.58109528635,8987.73938139966
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-02,15,10,5,0.6666666666666666,2.53638304559677,101797.6915579267,4437.4441362382495
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-03,29,22,7,0.7586206896551724,11.795397994896216,113805.13442680101,461.5914526002598
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-04,31,22,9,0.7096774193548387,8.687038749046135,123691.43055286126,0.0
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-05,22,15,7,0.6818181818181818,4.563119917005176,129335.6188560475,20908.777054858787
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-06,23,16,7,0.6956521739130435,5.566925868208363,136535.63687895218,1172.9188602817303
"TP=0.0096, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",Overall,144,99,45,0.6875,36.53563687895218,136535.63687895218,11674.703732848648
"TP=0.0097, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-01,24,14,10,0.5833333333333334,-0.5826604515082582,99417.33954849174,8761.099219167882
"TP=0.0097, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-02,15,10,5,0.6666666666666666,2.6379897192757387,102039.9587449584,4316.933848532091
"TP=0.0097, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-03,29,21,8,0.7241379310344828,9.40944146931492,111641.34893837836,4642.380788929149
"TP=0.0097, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-04,31,22,9,0.7096774193548387,8.92412306884537,121604.36031335834,0.0
"TP=0.0097, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-05,22,15,7,0.6818181818181818,4.718580964813115,127342.36051148722,19963.33215432419
"TP=0.0097, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-06,23,16,7,0.6956521739130435,5.734351200171836,134644.61868980483,1129.730485513719
"TP=0.0097, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",Overall,144,98,46,0.6805555555555556,34.64461868980484,134644.61868980483,8761.099219167882
"TP=0.0098, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-01,24,14,10,0.5833333333333334,-0.444724518531948,99555.27548146805,8534.41607119923
"TP=0.0098, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-02,15,10,5,0.6666666666666666,2.7396870008315877,102282.77842247591,4196.050985749942
"TP=0.0098, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-03,29,21,8,0.7241379310344828,9.637219544434785,112139.99433519768,4230.520926204728
"TP=0.0098, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-04,31,22,9,0.7096774193548387,9.161700995826672,122413.92531292546,0.0
"TP=0.0098, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-05,22,15,7,0.6818181818181818,4.874257716714188,128380.69551382348,19499.394503737596
"TP=0.0098, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-06,23,16,7,0.6956521739130435,5.902025442337981,135957.7568260998,1113.6255051651096
"TP=0.0098, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",Overall,144,98,46,0.6805555555555556,35.957756826099796,135957.7568260998,8534.41607119923
"TP=0.0099, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-01,24,14,10,0.5833333333333334,-0.3066108947401953,99693.3891052598,8307.689931105764
"TP=0.0099, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-02,15,10,5,0.6666666666666666,2.8414749620791815,102526.15179553394,4074.7947533241677
"TP=0.0099, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-03,29,21,8,0.7241379310344828,9.86544920162685,112640.81721930517,3816.4596899353783
"TP=0.0099, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-04,31,22,9,0.7096774193548387,9.399773508640799,123228.79891620192,0.0
"TP=0.0099, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-05,22,15,7,0.6818181818181818,5.030150450594762,129427.39290014777,19028.132107388694
"TP=0.0099, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-06,23,16,7,0.6956521739130435,6.069948940055658,137283.56956363196,1097.1818950931483
"TP=0.0099, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",Overall,144,98,46,0.6805555555555556,37.28356956363196,137283.56956363196,8307.689931105764
"TP=0.01, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-01,24,14,10,0.5833333333333334,-0.16831936885823962,99831.68063114176,8080.920792499062
"TP=0.01, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-02,15,10,5,0.6666666666666666,2.943353674883047,102770.08007169598,3953.164355287474
"TP=0.01, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-03,29,21,8,0.7241379310344828,10.094131291327871,113143.82688233575,3400.1886350400746
"TP=0.01, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-04,31,22,9,0.7096774193548387,9.638341587781742,124049.0154027437,0.0
"TP=0.01, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-05,22,15,7,0.6818181818181818,5.186259444671858,130482.51918009094,18549.46736016692
"TP=0.01, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-06,23,16,7,0.6956521739130435,6.238122039118575,138622.1779662613,1080.395258811157
"TP=0.01, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",Overall,144,98,46,0.6805555555555556,38.62217796626131,138622.1779662613,8080.920792499062
"TP=0.011, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-01,24,13,11,0.5416666666666666,-1.2786496833191923,98721.35031668081,17845.833465389107
"TP=0.011, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-02,15,10,5,0.6666666666666666,3.9671479844040602,102637.77237594548,2793.475074660295
"TP=0.011, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-03,28,18,10,0.6428571428571429,5.752331279867875,108541.83706128658,28917.69890053368
"TP=0.011, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-04,31,21,10,0.6774193548387096,9.280687064711012,118615.26529323311,683.6021648134047
"TP=0.011, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-05,22,15,7,0.6818181818181818,6.75930514095137,126632.83301815172,12833.278062701997
"TP=0.011, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-06,22,16,6,0.7272727272727273,9.466184074545488,138620.13009046178,798.7999106785282
"TP=0.011, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",Overall,142,93,49,0.6549295774647887,38.62013009046178,138620.13009046178,31751.63646897125
"TP=0.012, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-01,24,14,10,0.5833333333333334,2.635197997245603,102635.1979972456,5497.294777600022
"TP=0.012, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-02,15,10,5,0.6666666666666666,5.000096871553452,107767.05732141857,1998.2794451188092
"TP=0.012, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-03,28,17,11,0.6071428571428571,4.885336751923134,113031.8409792079,33476.10555270262
"TP=0.012, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-04,31,20,11,0.6451612903225806,8.706700582331129,122873.1849359642,489.5747875141242
"TP=0.012, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-05,23,16,7,0.6956521739130435,9.654536787170361,134736.02177717473,1326.182517093941
"TP=0.012, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-06,22,16,6,0.7272727272727273,11.211497755750873,149841.94783491068,584.2153904258157
"TP=0.012, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",Overall,143,93,50,0.6503496503496503,49.84194783491068,149841.94783491068,5497.294777600022
"TP=0.013, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-01,24,13,11,0.5416666666666666,1.2905324403844132,101290.53244038441,4907.405487600059
"TP=0.013, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-02,15,9,6,0.6,3.215874832108511,104547.90918044344,1076.2555470100633
"TP=0.013, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-03,28,16,12,0.5714285714285714,3.81834588023513,108539.90996350687,96215.41382125163
"TP=0.013, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-04,31,20,11,0.6451612903225806,10.875341774350106,120343.99613361013,256.43670344058773
"TP=0.013, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-05,23,16,7,0.6956521739130435,11.401113125850546,134064.55127297222,709.5536484843615
"TP=0.013, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-06,22,16,6,0.7272727272727273,12.982873352789564,151469.98217572784,316.92859920935007
"TP=0.013, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",Overall,143,90,53,0.6293706293706294,51.469982175727836,151469.98217572784,4907.405487600059
"TP=0.014, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-01,24,12,12,0.5,-0.2349466199767194,99765.05338002328,19638.353805688224
"TP=0.014, SL=0.014, Offset=60, pctChange=0.0008, TimeLimit=120, IgnoreBefore=1080, IgnoreAfter=0",2024-02,15,9,6,0.6,4.136525791056492,103891.86054354922,175.95106324728113
