Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,Max Drawdown
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=60",2024-01,30,17,13,0.566666667,-2.773325987,97226.67401,104459.6528
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=60",2024-02,22,15,7,0.681818182,3.839976591,100960.1555,1355.522401
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=60",2024-03,38,26,12,0.684210526,8.630290101,109673.3098,610.858472
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=60",2024-04,36,24,12,0.666666667,6.851073438,117187.1088,10821.47664
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=60",2024-05,29,21,8,0.724137931,8.74423256,127434.2222,1485.352742
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=60",2024-06,26,16,10,0.615384615,0.111662398,127576.5183,53053.17088
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=60",Overall,181,119,62,0.657458564,27.57651828,127576.5183,145039.2502
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=120",2024-01,30,16,14,0.533333333,-4.465959559,95534.04044,116602.4541
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=120",2024-02,22,15,7,0.681818182,3.804937518,99169.05099,1460.419965
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=120",2024-03,38,26,12,0.684210526,7.979229549,107081.9772,600.0214108
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=120",2024-04,36,24,12,0.666666667,6.851073438,114418.2421,10565.78959
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=120",2024-05,28,20,8,0.714285714,7.710214501,123240.134,1512.726107
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=120",2024-06,26,16,10,0.615384615,0.111662398,123377.7469,51307.09614
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=120",Overall,180,117,63,0.65,23.37774689,123377.7469,204086.3142
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=180",2024-01,30,16,14,0.533333333,-4.354117293,95645.88271,116490.6118
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=180",2024-02,22,15,7,0.681818182,3.804937518,99285.14878,1462.129687
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=180",2024-03,38,26,12,0.684210526,8.244507478,107470.7203,358.280938
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=180",2024-04,36,24,12,0.666666667,6.851073438,114833.6183,10604.14691
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=180",2024-05,28,20,8,0.714285714,7.710214501,123687.5366,1518.217805
