"",Datetime,Side,Signal Open Price,Entry Price,TP Price,SL Price,Result,Duration,Execution Latency,ROI,NAV,Ignore Reason,Daily Return
0,2024-05-01 15:00:00,Sell,56948.5,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,100000,Signal around economic event,0.000000
1,2024-05-02 10:00:00,Buy,57862.2,57792.76536,58544.071310,56983.666645,1,00:54:00,00:00:00,1.2291,101229.10013,"",1.229100
2,2024-05-03 01:00:00,Buy,59305.4,59234.23352,60004.278556,58404.954251,ended before data with loss,10:42:00,00:02:00,-0.345479,100879.374911,"",-0.345479
3,2024-05-03 06:00:00,Buy,59303.9,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,100879.374911,One open trade with the same side,-0.345479
4,2024-05-03 13:00:00,Sell,61632.5,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,100879.374911,Signal around economic event,-0.345479
5,2024-05-04 12:00:00,Sell,63816.2,63892.77944,63062.173307,64787.278352,1,12:23:00,00:03:00,1.2291,102119.28344,"",1.229100
6,2024-05-05 12:00:00,Sell,63664.8,63741.19776,62912.562189,64633.574529,-1,02:44:00,00:23:00,-1.46901,100619.140811,"",-0.257966
7,2024-05-05 19:00:00,Buy,63850.4,63773.77952,64602.838654,62880.946607,1,12:11:00,00:17:00,1.2291,101855.850802,"",-0.257966
8,2024-05-06 05:00:00,Buy,64193.8,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,101855.850802,One open trade with the same side,0.000000
9,2024-05-07 06:00:00,Buy,63598.1,63521.78228,64347.565450,62632.477328,1,01:30:00,00:17:00,1.2291,103107.761196,"",1.229100
10,2024-05-08 09:00:00,Buy,62198.3,62123.66204,62931.269647,61253.930771,ended before data with profit,10:46:00,01:36:00,0.45901,103581.03593,"",1.693752
11,2024-05-08 21:00:00,Sell,61382.9,61456.55948,60657.624207,62316.951313,1,13:13:00,00:00:00,1.2291,104854.150577,"",1.693752
12,2024-05-09 16:00:00,Sell,62156.5,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0,104854.150577,"",0.000000
13,2024-05-10 13:00:00,Buy,63061.2,62985.52656,63804.338405,62103.729188,-1,00:39:00,00:02:00,-1.46901,103313.832473,"",-1.469010
14,2024-05-11 00:00:00,Sell,60712.1,60784.95452,59994.750111,61635.943883,-1,39:13:00,00:12:00,-1.46901,101796.141798,"",-1.469010
15,2024-05-11 11:00:00,Sell,60652.0,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,101796.141798,One open trade with the same side,-1.469010
16,2024-05-12 02:00:00,Buy,60935.4,60862.27752,61653.487128,60010.205635,1,13:13:00,00:12:00,1.2291,103047.318309,"",-0.257966
17,2024-05-12 21:00:00,Sell,61227.4,61300.87288,60503.961533,62159.085100,-1,09:45:00,00:18:00,-1.46901,101533.542754,"",-0.257966
18,2024-05-13 11:00:00,Sell,62692.0,62767.23040,61951.256405,63645.971626,1,18:11:00,00:11:00,1.2291,102781.49166,"",1.229100
19,2024-05-14 05:00:00,Sell,62665.7,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,102781.49166,One open trade with the same side,0.000000
20,2024-05-15 12:00:00,Buy,63755.2,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,102781.49166,Signal around economic event,1.229100
21,2024-05-15 19:00:00,Buy,65940.0,65860.87200,66717.063336,64938.819792,1,16:35:00,00:05:00,1.2291,104044.779108,"",1.229100
22,2024-05-16 04:00:00,Sell,65793.0,65871.95160,65015.616229,66794.158922,-1,07:20:00,00:20:00,-1.46901,102516.350752,"",-1.469010
23,2024-05-17 01:00:00,Buy,65368.9,65290.45732,66139.233265,64376.390918,1,04:59:00,00:05:00,1.2291,103776.379353,"",2.473307
24,2024-05-17 17:00:00,Buy,66705.6,66625.55328,67491.685473,65692.795534,1,40:32:00,00:10:00,1.2291,105051.894966,"",2.473307
25,2024-05-17 21:00:00,Buy,66729.4,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,105051.894966,One open trade with the same side,2.473307
26,2024-05-18 13:00:00,Sell,66913.0,66993.29560,66122.382757,67931.201738,1,28:45:00,00:35:00,1.2291,106343.087944,"",2.473307
27,2024-05-18 18:00:00,Sell,66757.0,66837.10840,65968.225991,67772.827918,1,24:34:00,00:25:00,1.2291,107650.150976,"",2.473307
28,2024-05-18 21:00:00,Sell,66840.0,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,107650.150976,More than 2 open trades,2.473307
29,2024-05-19 11:00:00,Sell,67280.1,67360.83612,66485.145250,68303.887826,1,07:08:00,00:06:00,1.2291,108973.279122,"",1.229100
30,2024-05-20 02:00:00,Buy,66613.1,66533.16428,67398.095416,65601.699980,1,11:58:00,00:37:00,1.2291,110312.669837,"",-3.166883
31,2024-05-20 13:00:00,Sell,66893.4,66973.67208,66103.014343,67911.303489,-1,02:14:00,00:00:00,-1.46901,108692.165531,"",-3.166883
32,2024-05-20 17:00:00,Sell,68192.0,68273.83040,67386.270605,69229.664026,-1,01:32:00,00:01:00,-1.46901,107095.466598,"",-3.166883
33,2024-05-20 22:00:00,Sell,69610.9,69694.43308,68788.405450,70670.155143,-1,00:15:00,00:17:00,-1.46901,105522.223335,"",-3.166883
34,2024-05-21 18:00:00,Sell,69802.2,69885.96264,68977.445126,70864.366117,1,26:11:00,00:08:00,1.2291,106819.197119,"",1.229100
35,2024-05-21 22:00:00,Buy,70114.2,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0,106819.197119,"",1.229100
36,2024-05-23 01:00:00,Sell,69546.1,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0,106819.197119,"",1.229100
37,2024-05-23 04:00:00,Sell,69551.3,69634.76156,68729.509660,70609.648222,1,06:49:00,01:59:00,1.2291,108132.112009,"",1.229100
38,2024-05-24 09:00:00,Buy,67342.8,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0,108132.112009,"",0.000000
39,2024-05-25 09:00:00,Buy,69052.1,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0,108132.112009,"",0.000000
40,2024-05-25 20:00:00,Sell,69144.0,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0,108132.112009,"",0.000000
41,2024-05-27 00:00:00,Buy,68773.9,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0,108132.112009,"",-1.469010
