Datetime,Side,Signal Open Price,Entry Price,TP Price,SL Price,Result,Duration,Execution Latency,ROI,NAV,Ignore Reason,Daily Return
7/2/2024 9:00,Sell,62651.8,62683.1259,61868.24526,63309.95716,1,4:59:00,0:35:00,1.2291,101229.1001,,1.2291
7/4/2024 9:00,Buy,57725.9,57697.03705,58447.09853,57120.06668,-1,3:00:00,0:01:00,-1.06929,100146.6674,,-1.06929
7/5/2024 9:00,Sell,54504.9,54532.15245,53823.23447,55077.47398,-1,0:07:00,0:06:00,-1.06929,99075.80898,,-1.06929
7/6/2024 11:00,Buy,56713.2,56684.8434,57421.74636,56117.99497,1,4:08:00,0:12:00,1.2291,100293.5499,,1.2291
7/7/2024 1:00,Buy,58099.4,58070.3503,58825.26485,57489.6468,-1,1:56:00,1:09:00,-1.06929,99221.12088,,0.146667
7/7/2024 9:00,Sell,57710.1,57738.95505,56988.34863,58316.3446,1,3:17:00,0:01:00,1.2291,100440.6478,,0.146667
7/7/2024 13:00,Sell,56846.1,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,100440.6478,One open trade with the same side,0.146667
7/8/2024 2:00,Buy,55362.3,55334.61885,56053.9689,54781.27266,1,4:58:00,0:07:00,1.2291,101675.1639,,1.2291
7/9/2024 6:00,Buy,57449.4,57420.6753,58167.14408,56846.46855,1,11:41:00,0:04:00,1.2291,102924.8535,,1.2291
7/10/2024 1:00,Buy,57775.4,57746.5123,58497.21696,57169.04718,1,2:07:00,0:00:00,1.2291,104189.903,,1.2291
7/11/2024 9:00,Buy,58265.8,58236.6671,58993.74377,57654.30043,1,2:21:00,0:09:00,1.2291,105470.5013,,1.37757
7/11/2024 12:00,Sell,58798.3,58827.69915,58062.93906,59415.97614,1,1:17:00,0:00:00,1.2291,106766.8393,,1.37757
7/11/2024 17:00,Buy,57778.4,57749.5108,58500.25444,57172.01569,-1,4:50:00,0:02:00,-1.06929,105625.1921,,1.37757
7/11/2024 19:00,Buy,57354.8,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,105625.1921,One open trade with the same side,1.37757
7/12/2024 11:00,Sell,57188.7,57217.29435,56473.46952,57789.46729,ended before data with loss,1:53:00,0:01:00,-0.085711,105534.6595,,-0.085711
