month,day_of_week,-1,1,Ignored,Not Filled,ended before data with loss,ended before data with profit
2024-01,Friday,1.0,2.0,2.0,0.0,,
2024-01,Monday,1.0,5.0,1.0,2.0,,
2024-01,Saturday,1.0,2.0,3.0,1.0,,
2024-01,Sunday,0.0,3.0,2.0,1.0,,
2024-01,Thursday,0.0,1.0,1.0,1.0,,
2024-01,Tuesday,1.0,1.0,2.0,3.0,,
2024-01,Wednesday,0.0,2.0,4.0,0.0,,
2024-02,Friday,0.0,0.0,2.0,1.0,,
2024-02,Monday,1.0,2.0,2.0,1.0,,
2024-02,Saturday,2.0,1.0,0.0,2.0,,
2024-02,Sunday,1.0,2.0,1.0,0.0,,
2024-02,Thursday,0.0,2.0,4.0,0.0,,
2024-02,Tuesday,0.0,0.0,2.0,0.0,,
2024-02,Wednesday,2.0,2.0,1.0,0.0,,
2024-03,Friday,2.0,3.0,3.0,2.0,,
2024-03,Monday,3.0,1.0,2.0,0.0,,
2024-03,Saturday,1.0,3.0,0.0,0.0,,
2024-03,Sunday,5.0,3.0,2.0,0.0,,
2024-03,Thursday,0.0,3.0,3.0,1.0,,
2024-03,Tuesday,0.0,2.0,5.0,0.0,,
2024-03,Wednesday,1.0,3.0,2.0,0.0,,
2024-04,Friday,1.0,4.0,1.0,0.0,,
2024-04,Monday,0.0,4.0,3.0,0.0,,
2024-04,Saturday,1.0,2.0,0.0,4.0,,
2024-04,Sunday,0.0,4.0,1.0,1.0,,
2024-04,Thursday,3.0,2.0,1.0,0.0,,
2024-04,Tuesday,0.0,1.0,0.0,1.0,,
2024-04,Wednesday,1.0,4.0,1.0,0.0,,
2024-05,Friday,2.0,3.0,3.0,1.0,1.0,0.0
2024-05,Monday,4.0,2.0,1.0,2.0,0.0,0.0
2024-05,Saturday,1.0,3.0,2.0,2.0,0.0,0.0
2024-05,Sunday,2.0,3.0,0.0,0.0,0.0,0.0
2024-05,Thursday,1.0,3.0,0.0,2.0,0.0,0.0
2024-05,Tuesday,0.0,2.0,1.0,1.0,0.0,0.0
2024-05,Wednesday,0.0,3.0,2.0,0.0,0.0,1.0
2024-06,Friday,1.0,4.0,1.0,,1.0,0.0
2024-06,Monday,1.0,4.0,2.0,,0.0,0.0
2024-06,Saturday,1.0,2.0,1.0,,0.0,0.0
2024-06,Sunday,3.0,3.0,1.0,,0.0,0.0
2024-06,Thursday,1.0,3.0,2.0,,1.0,0.0
2024-06,Tuesday,3.0,3.0,0.0,,1.0,0.0
2024-06,Wednesday,0.0,0.0,1.0,,0.0,1.0
2024-07,Friday,1.0,1.0,3.0,1.0,1.0,1.0
2024-07,Monday,3.0,3.0,0.0,0.0,0.0,0.0
2024-07,Saturday,1.0,4.0,2.0,0.0,0.0,0.0
2024-07,Sunday,2.0,4.0,1.0,0.0,0.0,0.0
2024-07,Thursday,4.0,2.0,1.0,0.0,0.0,0.0
2024-07,Tuesday,0.0,5.0,1.0,0.0,0.0,0.0
2024-07,Wednesday,1.0,2.0,0.0,0.0,1.0,1.0
