"",Datetime,Side,Signal Open Price,Entry Price,TP Price,SL Price,Result,Duration,Execution Latency,ROI,NAV,Ignore Reason,Daily Return
0,2024-05-01 15:00:00,Sell,57094.1,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,100000,Signal around economic event,0.000000
1,2024-05-02 10:00:00,Buy,57657.1,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,100000,Signal around economic event,0.000000
2,2024-05-03 01:00:00,Buy,59324.1,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,100000,Signal around economic event,0.000000
3,2024-05-03 06:00:00,Buy,59463.0,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,100000,Signal around economic event,0.000000
4,2024-05-03 13:00:00,Sell,61037.2,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,100000,Signal around economic event,0.000000
5,2024-05-04 12:00:00,Sell,63915.8,63954.14948,63186.699686,64721.599274,1,13:06:00,00:00:00,1.12917,101129.17012,"",1.129170
6,2024-05-05 12:00:00,Sell,63774.0,63812.26440,63046.517227,64578.011573,-1,02:38:00,01:08:00,-1.26915,99845.689136,"",-0.154311
7,2024-05-05 19:00:00,Buy,63956.9,63918.52586,64685.548170,63151.503550,1,13:08:00,00:00:00,1.12917,100973.116824,"",-0.154311
8,2024-05-06 05:00:00,Buy,64063.7,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,100973.116824,One open trade with the same side,0.000000
9,2024-05-07 06:00:00,Buy,63458.6,63420.52484,64181.571138,62659.478542,1,02:12:00,00:00:00,1.12917,102113.275088,"",1.129170
10,2024-05-08 09:00:00,Buy,62295.8,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,102113.275088,Signal around economic event,1.129170
11,2024-05-08 21:00:00,Sell,61517.9,61554.81074,60816.153011,62293.468469,1,13:33:00,00:16:00,1.12917,103266.307679,"",1.129170
12,2024-05-09 16:00:00,Sell,62364.0,62401.41840,61652.601379,63150.235421,-1,06:37:00,00:00:00,-1.26915,101955.703211,"",-1.269150
13,2024-05-10 13:00:00,Buy,62941.0,62903.23540,63658.074225,62148.396575,-1,01:15:00,00:06:00,-1.26915,100661.732282,"",-1.269150
14,2024-05-11 00:00:00,Sell,60786.0,60822.47160,60092.601941,61552.341259,-1,39:31:00,00:00:00,-1.26915,99384.183786,"",-1.269150
15,2024-05-11 11:00:00,Sell,60567.9,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,99384.183786,One open trade with the same side,-1.269150
16,2024-05-12 02:00:00,Buy,60803.2,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0,99384.183786,"",-1.269150
17,2024-05-12 21:00:00,Sell,61246.5,61283.24790,60547.848925,62018.646875,-1,10:35:00,00:07:00,-1.26915,98122.849298,"",-1.269150
18,2024-05-13 11:00:00,Sell,62557.2,62594.73432,61843.597508,63345.871132,-1,05:02:00,00:13:00,-1.26915,96877.523038,"",-1.269150
19,2024-05-14 05:00:00,Sell,62478.7,62516.18722,61765.992973,63266.381467,1,01:01:00,00:03:00,1.12917,97971.435081,"",1.129170
20,2024-05-15 12:00:00,Buy,62517.0,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,97971.435081,Signal around economic event,0.000000
21,2024-05-15 19:00:00,Buy,65380.0,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0,97971.435081,"",0.000000
22,2024-05-16 04:00:00,Sell,65966.6,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,97971.435081,Signal around economic event,0.000000
23,2024-05-17 01:00:00,Buy,65427.1,65387.84374,66172.497865,64603.189615,1,06:02:00,00:00:00,1.12917,99077.699252,"",2.271090
24,2024-05-17 17:00:00,Buy,66923.9,66883.74566,67686.350608,66081.140712,1,41:22:00,00:01:00,1.12917,100196.455028,"",2.271090
25,2024-05-17 21:00:00,Buy,66807.2,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,100196.455028,One open trade with the same side,2.271090
26,2024-05-18 13:00:00,Sell,66957.4,66997.57444,66193.603547,67801.545333,1,29:49:00,00:11:00,1.12917,101327.843459,"",-0.154311
27,2024-05-18 18:00:00,Sell,66829.3,66869.39758,66066.964809,67671.830351,-1,14:37:00,01:46:00,-1.26915,100041.841013,"",-0.154311
28,2024-05-18 21:00:00,Sell,66949.9,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,100041.841013,More than 2 open trades,-0.154311
29,2024-05-19 11:00:00,Sell,67080.6,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,100041.841013,One open trade with the same side,0.000000
30,2024-05-20 02:00:00,Buy,66597.8,66557.84132,67356.535416,65759.147224,1,13:10:00,00:05:00,1.12917,101171.483589,"",-2.672612
31,2024-05-20 13:00:00,Sell,66993.9,67034.09634,66229.687184,67838.505496,-1,02:54:00,00:00:00,-1.26915,99887.465583,"",-2.672612
32,2024-05-20 17:00:00,Sell,68060.0,68100.83600,67283.625968,68918.046032,-1,02:11:00,00:01:00,-1.26915,98619.743694,"",-2.672612
33,2024-05-20 22:00:00,Sell,69573.0,69614.74380,68779.366874,70450.120726,-1,01:03:00,00:04:00,-1.26915,97368.111099,"",-2.672612
34,2024-05-21 18:00:00,Sell,69913.3,69955.24798,69115.785004,70794.710956,1,25:59:00,01:00:00,1.12917,98467.562716,"",1.129170
35,2024-05-21 22:00:00,Buy,69862.0,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0,98467.562716,"",1.129170
36,2024-05-23 01:00:00,Sell,69383.9,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,98467.562716,Signal around economic event,0.000000
37,2024-05-23 04:00:00,Sell,69484.3,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,98467.562716,Signal around economic event,0.000000
38,2024-05-24 09:00:00,Buy,67165.9,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,98467.562716,Signal around economic event,0.000000
39,2024-05-25 09:00:00,Buy,68909.5,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0,98467.562716,"",0.000000
40,2024-05-25 20:00:00,Sell,69212.6,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0,98467.562716,"",0.000000
41,2024-05-27 00:00:00,Buy,68636.1,68594.91834,69418.057360,67771.779320,1,14:28:00,00:15:00,1.12917,99579.429012,"",-1.421503
42,2024-05-27 09:00:00,Sell,68496.1,68537.19766,67714.751288,69359.644032,-1,05:43:00,00:00:00,-1.26915,98315.616569,"",-1.421503
43,2024-05-27 14:00:00,Sell,68939.9,68981.26394,68153.488773,69809.039107,-1,00:56:00,00:00:00,-1.26915,97067.843803,"",-1.421503
44,2024-05-29 15:00:00,Buy,67630.0,67589.42200,68400.495064,66778.348936,1,13:22:00,00:00:00,1.12917,98163.904892,"",1.129170
45,2024-05-30 13:00:00,Buy,68179.9,68138.99206,68956.659965,67321.324155,1,03:40:00,00:26:00,1.12917,99272.342374,"",1.129170
46,2024-05-31 09:00:00,Buy,68146.2,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,99272.342374,Signal around economic event,-1.269150
47,2024-05-31 17:00:00,Sell,67341.8,67382.20508,66573.618619,68190.791541,-1,42:35:00,00:05:00,-1.26915,98012.427322,"",-1.269150
