"",Date,Optimized TP,Optimized SL,Time Offset,Percentage Change,ROI
0,2024-04-03 17:00:00,0.013,0.005,30,0.0004,1.22910
1,2024-04-05 20:00:00,0.013,0.007,90,0.0009,1.22910
2,2024-04-06 09:00:00,0.005,0.003,0,0.0014,0.42966
3,2024-04-07 02:00:00,0.006,0.010,50,0.0002,0.52959
4,2024-04-07 09:00:00,0.004,0.008,90,0.0014,0.32973
5,2024-04-08 10:00:00,0.013,0.009,0,0.0014,1.22910
6,2024-04-10 21:00:00,0.013,0.006,70,0.0010,1.22910
7,2024-04-11 22:00:00,0.013,0.010,30,0.0011,1.22910
8,2024-04-12 10:00:00,0.013,0.013,80,0.0002,1.22910
9,2024-04-12 22:00:00,0.003,0.007,40,0.0011,0.22980
10,2024-04-13 01:00:00,0.009,0.008,40,0.0003,0.82938
11,2024-04-13 21:00:00,0.013,0.009,110,0.0007,1.22910
12,2024-04-14 01:00:00,0.012,0.007,40,0.0010,1.12917
13,2024-04-14 06:00:00,0.013,0.013,60,0.0004,1.22910
14,2024-04-15 21:00:00,0.010,0.011,100,0.0002,0.92931
15,2024-04-17 13:00:00,0.012,0.003,0,0.0013,1.12917
16,2024-04-17 17:00:00,0.011,0.011,110,0.0002,1.02924
17,2024-04-18 16:00:00,0.006,0.008,20,0.0009,0.52959
18,2024-04-19 16:00:00,0.013,0.012,110,0.0006,1.22910
19,2024-04-20 03:00:00,0.012,0.011,30,0.0010,1.12917
20,2024-04-20 21:00:00,0.003,0.010,60,0.0004,0.22980
21,2024-04-21 21:00:00,0.008,0.011,80,0.0013,0.72945
22,2024-04-22 16:00:00,0.012,0.008,30,0.0006,1.12917
23,2024-04-24 22:00:00,0.013,0.012,10,0.0001,1.22910
24,2024-04-25 09:00:00,0.013,0.008,90,0.0008,1.22910
25,2024-04-25 22:00:00,0.009,0.003,50,0.0009,-0.36978
26,2024-04-26 21:00:00,0.013,0.012,100,0.0013,1.22910
27,2024-04-27 05:00:00,0.013,0.008,110,0.0001,1.22910
28,2024-04-27 13:00:00,0.008,0.010,60,0.0003,0.72945
29,2024-04-28 09:00:00,0.013,0.010,80,0.0003,1.22910
30,2024-04-29 05:00:00,0.013,0.013,50,0.0007,1.22910
31,2024-04-29 10:00:00,0.013,0.010,60,0.0011,1.22910
32,2024-04-30 04:00:00,0.013,0.007,0,0.0005,1.22910
33,2024-04-30 18:00:00,0.013,0.005,0,0.0001,1.22910
