"",Date,Optimized TP,Optimized SL,Time Offset,Percentage Change,ROI
0,2024-07-02 09:00:00,0.013,0.013,70,0.0012,1.22910
1,2024-07-04 09:00:00,0.013,0.013,100,0.0006,1.22910
2,2024-07-06 11:00:00,0.013,0.011,20,0.0005,1.22910
3,2024-07-07 01:00:00,0.009,0.004,30,0.0008,0.82938
4,2024-07-07 09:00:00,0.013,0.009,80,0.0013,1.22910
5,2024-07-07 13:00:00,0.013,0.008,50,0.0013,1.22910
6,2024-07-08 02:00:00,0.013,0.003,110,0.0013,1.22910
7,2024-07-09 06:00:00,0.013,0.010,50,0.0014,1.22910
8,2024-07-11 17:00:00,0.004,0.006,10,0.0008,0.32973
9,2024-07-11 19:00:00,0.005,0.009,80,0.0012,0.42966
10,2024-07-13 17:00:00,0.013,0.011,0,0.0004,1.22910
11,2024-07-14 05:00:00,0.012,0.011,60,0.0009,1.12917
12,2024-07-15 01:00:00,0.013,0.009,90,0.0007,1.22910
13,2024-07-15 19:00:00,0.013,0.008,110,0.0007,1.22910
14,2024-07-16 21:00:00,0.013,0.011,0,0.0002,1.22910
15,2024-07-18 21:00:00,0.011,0.007,90,0.0004,1.02924
16,2024-07-19 04:00:00,0.011,0.011,20,0.0004,1.02924
17,2024-07-19 09:00:00,0.003,0.007,90,0.0011,0.22980
18,2024-07-19 18:00:00,0.013,0.011,20,0.0010,1.22910
19,2024-07-20 02:00:00,0.013,0.004,0,0.0004,1.22910
20,2024-07-21 14:00:00,0.012,0.011,20,0.0014,1.12917
21,2024-07-21 23:00:00,0.013,0.012,90,0.0014,1.22910
22,2024-07-22 21:00:00,0.013,0.003,100,0.0007,-0.36978
23,2024-07-23 00:00:00,0.006,0.008,90,0.0001,0.52959
24,2024-07-23 05:00:00,0.013,0.009,30,0.0009,1.22910
25,2024-07-25 23:00:00,0.004,0.003,50,0.0012,-0.36978
26,2024-07-26 17:00:00,0.013,0.008,60,0.0002,1.22910
27,2024-07-27 11:00:00,0.009,0.003,10,0.0004,-0.36978
28,2024-07-27 13:00:00,0.013,0.006,40,0.0011,1.22910
29,2024-07-27 15:00:00,0.013,0.003,90,0.0007,1.22910
30,2024-07-27 17:00:00,0.013,0.005,50,0.0012,1.22910
31,2024-07-28 05:00:00,0.013,0.007,80,0.0011,1.22910
32,2024-07-29 00:00:00,0.007,0.008,50,0.0004,0.62952
33,2024-07-29 20:00:00,0.006,0.009,70,0.0011,0.52959
34,2024-07-30 16:00:00,0.013,0.007,30,0.0002,1.22910
35,2024-07-31 22:00:00,0.012,0.003,0,0.0008,1.12917
