"",Date,Optimized TP,Optimized SL,Time Offset,Percentage Change,ROI
0,2024-06-01 01:00:00,0.005,0.008,80,0.0014,0.42966
1,2024-06-02 00:00:00,0.013,0.009,110,0.0012,1.22910
2,2024-06-02 17:00:00,0.011,0.012,20,0.0012,1.02924
3,2024-06-04 02:00:00,0.013,0.012,0,0.0005,1.22910
4,2024-06-06 00:00:00,0.010,0.008,50,0.0008,0.92931
5,2024-06-07 18:00:00,0.009,0.011,0,0.0009,0.82938
6,2024-06-08 00:00:00,0.012,0.013,20,0.0011,1.12917
7,2024-06-10 07:00:00,0.013,0.011,0,0.0003,1.22910
8,2024-06-10 09:00:00,0.013,0.012,70,0.0004,1.22910
9,2024-06-11 13:00:00,0.004,0.013,60,0.0008,0.32973
10,2024-06-11 16:00:00,0.006,0.011,20,0.0010,0.52959
11,2024-06-13 17:00:00,0.012,0.012,30,0.0013,1.12917
12,2024-06-14 17:00:00,0.009,0.008,40,0.0006,0.82938
13,2024-06-16 12:00:00,0.006,0.010,30,0.0010,0.52959
14,2024-06-16 18:00:00,0.013,0.007,50,0.0003,1.22910
15,2024-06-17 05:00:00,0.013,0.008,110,0.0013,1.22910
16,2024-06-17 13:00:00,0.013,0.006,80,0.0002,1.22910
17,2024-06-17 17:00:00,0.013,0.006,20,0.0012,1.22910
18,2024-06-18 17:00:00,0.011,0.007,20,0.0001,1.02924
19,2024-06-20 19:00:00,0.013,0.007,60,0.0002,1.22910
20,2024-06-21 09:00:00,0.013,0.005,10,0.0010,1.22910
21,2024-06-21 21:00:00,0.013,0.013,100,0.0003,1.22910
22,2024-06-22 05:00:00,0.004,0.012,0,0.0011,0.32973
23,2024-06-23 13:00:00,0.012,0.011,0,0.0006,1.12917
24,2024-06-24 03:00:00,0.003,0.003,0,0.0004,0.22980
25,2024-06-25 05:00:00,0.012,0.006,50,0.0009,1.12917
26,2024-06-25 13:00:00,0.013,0.012,110,0.0007,1.22910
27,2024-06-26 14:00:00,0.013,0.006,0,0.0006,1.22910
28,2024-06-28 17:00:00,0.013,0.005,10,0.0010,1.22910
29,2024-06-29 04:00:00,0.013,0.013,0,0.0002,1.22910
30,2024-06-30 07:00:00,0.004,0.013,10,0.0011,0.32973
31,2024-06-30 19:00:00,0.013,0.013,50,0.0013,1.22910
