"",Date,Optimized TP,Optimized SL,Time Offset,Percentage Change,ROI
0,2024-01-01 01:00:00,0.009,0.010,50,0.0001,0.82938
1,2024-01-01 17:00:00,0.013,0.005,90,0.0003,1.22910
2,2024-01-02 23:00:00,0.012,0.010,50,0.0002,1.12917
3,2024-01-06 01:00:00,0.010,0.012,80,0.0007,0.92931
4,2024-01-06 05:00:00,0.013,0.012,20,0.0014,1.22910
5,2024-01-06 21:00:00,0.013,0.011,20,0.0002,1.22910
6,2024-01-07 05:00:00,0.012,0.011,30,0.0013,1.12917
7,2024-01-08 00:00:00,0.008,0.013,100,0.0003,0.72945
8,2024-01-08 21:00:00,0.013,0.009,30,0.0006,1.22910
9,2024-01-11 17:00:00,0.013,0.013,110,0.0012,1.22910
10,2024-01-12 17:00:00,0.013,0.009,110,0.0014,1.22910
11,2024-01-14 02:00:00,0.013,0.009,20,0.0008,1.22910
12,2024-01-14 09:00:00,0.013,0.005,30,0.0003,1.22910
13,2024-01-15 01:00:00,0.003,0.011,50,0.0002,0.22980
14,2024-01-15 17:00:00,0.011,0.011,110,0.0001,1.02924
15,2024-01-15 23:00:00,0.013,0.006,90,0.0004,1.22910
16,2024-01-16 17:00:00,0.013,0.011,50,0.0009,1.22910
17,2024-01-17 21:00:00,0.013,0.010,60,0.0004,1.22910
18,2024-01-18 18:00:00,0.013,0.010,70,0.0008,1.22910
19,2024-01-19 05:00:00,0.008,0.006,60,0.0005,0.72945
20,2024-01-20 01:00:00,0.013,0.007,110,0.0003,1.22910
21,2024-01-20 09:00:00,0.009,0.009,30,0.0008,0.82938
22,2024-01-21 16:00:00,0.013,0.011,50,0.0011,1.22910
23,2024-01-22 01:00:00,0.013,0.009,60,0.0012,1.22910
24,2024-01-22 18:00:00,0.013,0.013,80,0.0009,1.22910
25,2024-01-23 17:00:00,0.011,0.010,30,0.0012,1.02924
26,2024-01-24 17:00:00,0.013,0.008,100,0.0004,1.22910
27,2024-01-26 17:00:00,0.013,0.005,90,0.0005,1.22910
28,2024-01-27 01:00:00,0.012,0.012,80,0.0006,1.12917
29,2024-01-27 17:00:00,0.013,0.008,10,0.0002,1.22910
30,2024-01-28 01:00:00,0.011,0.005,110,0.0005,1.02924
31,2024-01-28 17:00:00,0.013,0.004,50,0.0014,1.22910
32,2024-01-30 09:00:00,0.013,0.012,20,0.0009,1.22910
33,2024-01-30 12:00:00,0.013,0.009,30,0.0008,1.22910
34,2024-01-30 17:00:00,0.009,0.010,90,0.0004,0.82938
