"",Datetime,Order ID,Position ID,Symbol,Order Side,Order Type,Order Price,Creation Time,Execution Time,Quantity,Order Status,Cumulative Filled Value,Position Entry Price,Position Entry Time,Position Status,Position Exit Reason,Position Exit Time,TP/SL Hit Price,Realized PnL,Duration,Average Price,Total Margin Used,NAV
0,2024-07-02 09:00:00,0,None,BTCUSDT,Sell,Limit,62666.1,2024-07-02 09:00:00,2024-07-02 09:00:00,0.79788,Filled,50000.0,NaN,NaT,None,None,NaT,None,None,NaN,NaN,None,100000
1,2024-07-02 09:00:00,0,None,BTCUSDT,Sell,Limit,62666.1,2024-07-02 09:00:00,2024-07-02 09:00:00,0.79788,Filled,50000.0,NaN,NaT,None,None,NaT,None,None,NaN,NaN,None,100000
2,2024-07-02 09:00:00,None,1,BTCUSDT,Sell,Market,62666.1,2024-07-02 09:00:00,2024-07-02 14:36:00,0.79788,Closed,50000.0,62666.1,2024-07-02 09:00:00,Closed,Take Profit,2024-07-02 14:36:00,"[62194.5375975, 62068.89206699999]","[376.24999999999983, 476.50000000000415]",336.0,62822.76525,None,100000
3,2024-07-02 09:00:00,None,None,None,None,Account,NaN,NaT,NaT,0.79788,None,50000.0,NaN,NaT,None,None,NaT,None,"[376.24999999999983, 476.50000000000415]",NaN,62822.76525,None,"[102744.34708970564, 102743.72844286486]"
4,2024-07-04 09:00:00,2,None,BTCUSDT,Buy,Limit,57674.1,2024-07-04 09:00:00,2024-07-04 09:00:00,"[0.8702021357940566, 0.871071243417756]",Filled,"[50188.125, 50238.25]",NaN,NaT,None,None,NaT,None,None,NaN,NaN,None,"[102744.34708970564, 102743.72844286486]"
5,2024-07-04 09:00:00,2,None,BTCUSDT,Buy,Limit,57674.1,2024-07-04 09:00:00,2024-07-04 09:00:00,"[0.8702021357940566, 0.871071243417756]",Filled,"[50188.125, 50238.25]",NaN,NaT,None,None,NaT,None,None,NaN,NaN,None,"[102744.34708970564, 102743.72844286486]"
6,2024-07-04 09:00:00,None,2,BTCUSDT,Buy,Market,57674.1,2024-07-04 09:00:00,2024-07-04 13:28:00,"[0.8702021357940566, 0.871071243417756]",Closed,"[50188.125, 50238.25]",57674.1,2024-07-04 09:00:00,Closed,Stop Loss,2024-07-04 13:28:00,"[56954.615602499995, 56839.55577299999]","[-626.0968593750034, -726.947477500005]",268.0,57529.91475,None,"[102744.34708970564, 102743.72844286486]"
7,2024-07-04 09:00:00,None,None,None,None,Account,NaN,NaT,NaT,"[0.8702021357940566, 0.871071243417756]",None,"[50188.125, 50238.25]",NaN,NaT,None,None,NaT,None,"[-626.0968593750034, -726.947477500005]",NaN,57529.91475,None,"[102744.34708970564, 102743.72844286486]"
8,2024-07-05 09:00:00,None,None,None,Sell,None,NaN,NaT,NaT,None,Ignored,None,NaN,NaT,Ignored,Signal around event,NaT,None,0,NaN,NaN,None,"[102744.34708970564, 102743.72844286486]"
9,2024-07-06 11:00:00,4,None,BTCUSDT,Buy,Limit,56750.0,2024-07-06 11:00:00,2024-07-06 11:00:00,"[0.8788559748072687, 0.8788506830176211]",Filled,"[49875.0765703125, 49874.77626125]",NaN,NaT,None,None,NaT,None,None,NaN,NaN,None,"[102744.34708970564, 102743.72844286486]"
10,2024-07-06 11:00:00,4,None,BTCUSDT,Buy,Limit,56750.0,2024-07-06 11:00:00,2024-07-06 11:00:00,"[0.8788559748072687, 0.8788506830176211]",Filled,"[49875.0765703125, 49874.77626125]",NaN,NaT,None,None,NaT,None,None,NaN,NaN,None,"[102744.34708970564, 102743.72844286486]"
11,2024-07-06 11:00:00,4,None,BTCUSDT,Buy,Limit,56750.0,2024-07-06 11:00:00,2024-07-06 11:00:00,"[0.8788559748072687, 0.8788506830176211]",Filled,"[49875.0765703125, 49874.77626125]",NaN,NaT,None,None,NaT,None,None,NaN,NaN,None,"[102744.34708970564, 102743.72844286486]"
12,2024-07-06 11:00:00,None,3,BTCUSDT,Buy,Market,56750.0,2024-07-06 11:00:00,2024-07-06 13:49:00,"[0.8788559748072687, 0.8788506830176211]",Closed,"[49875.0765703125, 49874.77626125]",56750.0,2024-07-06 11:00:00,Closed,Take Profit,2024-07-06 13:49:00,57317.5,"[498.750765703125, 498.7477626125]",169.0,56750.00000,None,"[102744.34708970564, 102743.72844286486]"
