Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,Max Drawdown
"TP=0.009, SL=0.015, Method=time_offset, pctChange=None",2024-01,38,25,13,0.6578947368421053,2.7898310873289445,102789.83108732894,28325.282035029202
"TP=0.009, SL=0.015, Method=time_offset, pctChange=None",2024-02,27,18,9,0.6666666666666666,2.557415234612979,105418.59388718924,0.0
"TP=0.009, SL=0.015, Method=time_offset, pctChange=None",2024-03,44,23,21,0.5227272727272727,-10.53407347981765,94313.72174572217,288019.28153776395
"TP=0.009, SL=0.015, Method=time_offset, pctChange=None",2024-04,37,25,12,0.6756756756756757,4.35515846429339,98421.2337813211,943.0435344109137
"TP=0.009, SL=0.015, Method=time_offset, pctChange=None",2024-05,38,29,9,0.7631578947368421,13.180053619712542,111393.20516688186,0.0
"TP=0.009, SL=0.015, Method=time_offset, pctChange=None",2024-06,35,24,11,0.6857142857142857,4.999329349854696,116962.11836653364,20902.160039935523
"TP=0.009, SL=0.015, Method=time_offset, pctChange=None ",Overall,219,144,75,0.6575342465753424,16.962118366533645,116962.11836653364,232068.66540532233
"TP=0.009, SL=0.0145, Method=time_offset, pctChange=None",2024-01,38,25,13,0.6578947368421053,3.4702093817230635,103470.20938172306,16577.53152847312
"TP=0.009, SL=0.0145, Method=time_offset, pctChange=None",2024-02,27,18,9,0.6666666666666666,3.026904120025197,106602.15341249714,0.0
"TP=0.009, SL=0.0145, Method=time_offset, pctChange=None",2024-03,44,23,21,0.5227272727272727,-9.575519081669356,96394.44387101303,267096.88114046573
"TP=0.009, SL=0.0145, Method=time_offset, pctChange=None",2024-04,37,24,13,0.6486486486486487,2.547283827277568,98849.8839501335,2942.8692087138625
"TP=0.009, SL=0.0145, Method=time_offset, pctChange=None",2024-05,38,29,9,0.7631578947368421,13.698170979664114,112390.51006682235,0.0
"TP=0.009, SL=0.0145, Method=time_offset, pctChange=None",2024-06,35,24,11,0.6857142857142857,5.587110337105249,118669.89187269109,19527.310204114197
"TP=0.009, SL=0.0145, Method=time_offset, pctChange=None ",Overall,219,143,76,0.6529680365296804,18.669891872691093,118669.89187269109,132320.33730911024
"TP=0.009, SL=0.014, Method=time_offset, pctChange=None",2024-01,38,25,13,0.6578947368421053,4.1547426442999855,104154.74264429999,13896.197799417569
"TP=0.009, SL=0.014, Method=time_offset, pctChange=None",2024-02,27,18,9,0.6666666666666666,3.4983024642233773,107798.39057283105,0.0
"TP=0.009, SL=0.014, Method=time_offset, pctChange=None",2024-03,44,23,21,0.5227272727272727,-8.60718859214391,98519.9797969316,245501.0901479299
"TP=0.009, SL=0.014, Method=time_offset, pctChange=None",2024-04,37,24,13,0.6486486486486487,3.2257112431119235,101697.94986195282,1318.3058863580663
"TP=0.009, SL=0.014, Method=time_offset, pctChange=None",2024-05,38,28,10,0.7368421052631579,11.614804794124623,113509.96821804537,0.0
"TP=0.009, SL=0.014, Method=time_offset, pctChange=None",2024-06,35,24,11,0.6857142857142857,6.177881047763986,120522.47903191092,18142.265454491615
"TP=0.009, SL=0.014, Method=time_offset, pctChange=None ",Overall,219,142,77,0.6484018264840182,20.52247903191092,120522.47903191092,15576.735638131038
"TP=0.009, SL=0.0138, Method=time_offset, pctChange=None",2024-01,38,24,14,0.631578947368421,2.069964663213759,102069.96466321376,14304.231396362768
"TP=0.009, SL=0.0138, Method=time_offset, pctChange=None",2024-02,27,17,10,0.6296296296296297,1.344412169497684,103442.20568954799,0.0
"TP=0.009, SL=0.0138, Method=time_offset, pctChange=None",2024-03,44,23,21,0.5227272727272727,-8.217097913571381,94942.25836407993,226095.76482556813
"TP=0.009, SL=0.0138, Method=time_offset, pctChange=None",2024-04,37,24,13,0.6486486486486487,3.498240380464204,98263.56678429683,811.9020193917095
"TP=0.009, SL=0.0138, Method=time_offset, pctChange=None",2024-05,38,28,10,0.7368421052631579,11.841410756721464,109899.35935143073,0.0
"TP=0.009, SL=0.0138, Method=time_offset, pctChange=None",2024-06,35,24,11,0.6857142857142857,6.415029516909668,116949.43569271963,16952.919552468768
"TP=0.009, SL=0.0138, Method=time_offset, pctChange=None ",Overall,219,140,79,0.639269406392694,16.949435692719636,116949.43569271963,235203.04906421652
"TP=0.009, SL=0.0136, Method=time_offset, pctChange=None",2024-01,38,24,14,0.631578947368421,2.3601420516003566,102360.14205160036,12454.750049031558
"TP=0.009, SL=0.0136, Method=time_offset, pctChange=None",2024-02,27,17,10,0.6296296296296297,1.5501249021791093,103946.85210344812,0.0
"TP=0.009, SL=0.0136, Method=time_offset, pctChange=None",2024-03,44,23,21,0.5227272727272727,-7.825421825046995,95812.57245249557,217642.15322111553
"TP=0.009, SL=0.0136, Method=time_offset, pctChange=None",2024-04,37,24,13,0.6486486486486487,3.7714335478510432,99426.07995302808,645.8233680973935
"TP=0.009, SL=0.0136, Method=time_offset, pctChange=None",2024-05,38,27,11,0.7105263157894737,9.558275557897826,108929.49865135431,0.0
"TP=0.009, SL=0.0136, Method=time_offset, pctChange=None",2024-06,35,23,12,0.6571428571428571,4.263808959280451,113574.04437415003,18410.952284207422
"TP=0.009, SL=0.0136, Method=time_offset, pctChange=None ",Overall,219,138,81,0.6301369863013698,13.574044374150034,113574.04437415003,171601.51934258122
"TP=0.009, SL=0.0134, Method=time_offset, pctChange=None",2024-01,38,24,14,0.631578947368421,2.6510853122270346,102651.08531222703,11733.417216216869
"TP=0.009, SL=0.0134, Method=time_offset, pctChange=None",2024-02,27,17,10,0.6296296296296297,1.7562133657655423,104453.85739258376,0.0
