Date,calculated_tp,Optimized TP,calculated_sl,Optimized SL,calculated_percentage_change,Percentage Change
1/1/2024 1:00,0.000672,0.007,0.000531,0.008,0.000045,0.0003
1/1/2024 17:00,0.000866,0.013,0.000679,0.004,0.000058,0.0003
1/2/2024 23:00,0.00115,0.012,0.000909,0.008,0.000077,0.0002
1/6/2024 1:00,0.001489,0.011,0.001169,0.003,0.000099,0.0001
1/6/2024 5:00,0.001077,0.011,0.00083,0.011,0.00007,0.0004
1/6/2024 21:00,0.001591,0.013,0.001251,0.009,0.000106,0.0014
1/7/2024 5:00,0.000984,0.013,0.000781,0.012,0.000066,0.0002
1/8/2024 0:00,0.002259,0.005,0.001806,0.003,0.000155,0.0009
1/8/2024 21:00,0.003894,0.011,0.003055,0.009,0.000258,0.0008
1/11/2024 17:00,0.004671,0.01,0.003686,0.009,0.000314,0.0007
1/12/2024 17:00,0.004666,0.013,0.003646,0.011,0.00031,0.0009
1/14/2024 2:00,0.000906,0.013,0.000701,0.008,0.000059,0.0012
1/14/2024 9:00,0.001313,0.013,0.001024,0.01,0.000086,0.0004
1/15/2024 1:00,0.002223,0.003,0.001726,0.008,0.000144,0.0006
1/15/2024 17:00,0.003013,0.003,0.002417,0.003,0.000206,0.0012
1/15/2024 23:00,0.001487,0.013,0.00114,0.009,0.000095,0.0014
1/16/2024 17:00,0.002812,0.008,0.00218,0.012,0.000183,0.0009
1/17/2024 21:00,0.001582,0.013,0.001232,0.006,0.000104,0.0008
1/18/2024 18:00,0.008232,0.013,0.006405,0.005,0.000541,0.0001
1/19/2024 5:00,0.002071,0.012,0.001641,0.004,0.000139,0.0008
1/20/2024 1:00,0.001865,0.013,0.001475,0.009,0.000125,0.0006
1/20/2024 9:00,0.001574,0.008,0.001235,0.011,0.000105,0.0014
1/21/2024 16:00,0.001224,0.013,0.000955,0.011,0.000081,0.0005
1/22/2024 1:00,0.004054,0.013,0.003174,0.011,0.000268,0.0001
1/22/2024 18:00,0.001775,0.013,0.001371,0.008,0.000115,0.0012
1/23/2024 17:00,0.003281,0.009,0.002625,0.009,0.000224,0.0013
1/24/2024 17:00,0.001936,0.004,0.001543,0.003,0.000131,0.001
1/26/2024 17:00,0.002279,0.013,0.001815,0.009,0.000153,0.0006
1/27/2024 1:00,0.001192,0.013,0.000944,0.011,0.00008,0.0002
1/27/2024 17:00,0.000835,0.013,0.000656,0.006,0.000056,0.0014
1/28/2024 17:00,0.001976,0.006,0.001535,0.008,0.000129,0.0001
1/30/2024 9:00,0.000655,0.012,0.000519,0.011,0.000044,0.0013
