Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,Max Drawdown
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-01,38,26,12,0.6842105263157895,4.018719536538177,104018.71953653818,16828.98357458398
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-02,27,18,9,0.6666666666666666,1.6241387762510755,105708.12789509095,0.0
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-03,44,24,20,0.5454545454545454,-10.197183379045152,94928.87624707294,255685.09881188202
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-04,37,25,12,0.6756756756756757,3.090901423724659,97863.03423451954,1523.966562565096
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-05,38,29,9,0.7631578947368421,12.15011073983607,109753.50126737735,0.9039866349485237
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-06,35,25,10,0.7142857142857143,6.470707564657134,116855.3293763616,12265.267420126896
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None ",Overall,219,147,72,0.6712328767123288,16.855329376361595,116855.3293763616,195020.94160044054
"TP=0.0091, SL=0.016, Method=time_offset, pctChange=None",2024-01,38,26,12,0.6842105263157895,4.287088200583938,104287.08820058394,16487.36646432546
"TP=0.0091, SL=0.016, Method=time_offset, pctChange=None",2024-02,27,18,9,0.6666666666666666,1.8055834039323087,106170.07855757793,0.0
"TP=0.0091, SL=0.016, Method=time_offset, pctChange=None",2024-03,44,24,20,0.5454545454545454,-9.983335427126752,95570.76349193095,251613.89987213392
"TP=0.0091, SL=0.016, Method=time_offset, pctChange=None",2024-04,37,25,12,0.6756756756756757,3.3466338327062815,98769.16699712761,1449.652060145003
"TP=0.0091, SL=0.016, Method=time_offset, pctChange=None",2024-05,38,29,9,0.7631578947368421,12.472892694208213,111088.53921164265,0.0
"TP=0.0091, SL=0.016, Method=time_offset, pctChange=None",2024-06,35,25,10,0.7142857142857143,6.734824088573987,118570.15691011332,12219.019024480614
"TP=0.0091, SL=0.016, Method=time_offset, pctChange=None ",Overall,219,147,72,0.6712328767123288,18.57015691011332,118570.15691011332,148930.8413435737
"TP=0.0092, SL=0.016, Method=time_offset, pctChange=None",2024-01,38,25,13,0.6578947368421053,1.945327585472638,101945.32758547264,16145.629023613801
