Datetime,Side,Signal Open Price,Entry Price,TP Price,SL Price,Result,Duration,Execution Latency,ROI,NAV,Ignore Reason,Daily Return
2/1/2024 4:00,Buy,42070.7,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,100000,Signal around economic event,0
2/3/2024 0:00,Sell,43253.2,43274.8266,42712.25385,43707.57487,1,29:43:00,0:07:00,1.2291,101229.1001,,1.2291
2/5/2024 8:00,Sell,42987.9,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,101229.1001,Signal around economic event,0
2/7/2024 8:00,Buy,42925.5,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,101229.1001,Signal around economic event,0
2/8/2024 0:00,Sell,44626.6,44648.9133,44068.47743,45095.40243,-1,12:12:00,0:42:00,-1.06929,100146.6674,,-1.06929
2/8/2024 16:00,Buy,44962.9,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,100146.6674,Signal around economic event,-1.06929
2/9/2024 9:00,Buy,46599.4,46576.1003,47181.5896,46110.3393,1,1:38:00,0:02:00,1.2291,101377.5702,,1.2291
2/10/2024 22:00,Sell,47842.3,47866.22115,47243.96028,48344.88336,-1,4:25:00,0:00:00,-1.06929,100293.5499,,-1.06929
2/11/2024 21:00,Buy,48124.8,48100.7376,48726.04719,47619.73022,1,2:16:00,0:02:00,1.2291,101526.258,,1.2291
2/13/2024 0:00,Sell,50174,50199.087,49546.49887,50701.07787,ended before data with profit,12:25:00,0:01:00,0.520314,102054.5135,,0.520314
2/14/2024 0:00,Buy,49470.5,49445.76475,50088.55969,48951.3071,1,7:40:00,0:02:00,1.2291,103308.8656,,0.146667
2/14/2024 10:00,Sell,51212.6,51238.2063,50572.10962,51750.58836,-1,0:46:00,0:00:00,-1.06929,102204.1941,,0.146667
2/16/2024 0:00,Sell,51946.6,51972.5733,51296.92985,52492.29903,-1,12:49:00,0:00:00,-1.06929,101111.3348,,-1.06929
2/17/2024 0:00,Buy,52024.3,51998.28785,52674.26559,51478.30497,-1,12:14:00,0:03:00,-1.06929,100030.1613,,0.146667
2/17/2024 16:00,Buy,51164.5,51138.91775,51803.72368,50627.52857,1,3:54:00,0:19:00,1.2291,101259.6322,,0.146667
2/18/2024 1:00,Sell,51452.5,51478.22625,50809.00931,51993.00851,-1,6:52:00,0:00:00,-1.06929,100176.8729,,0.146667
2/18/2024 23:00,Sell,52290.4,52316.5452,51636.43011,52839.71065,1,24:29:00,0:01:00,1.2291,101408.147,,0.146667
2/19/2024 18:00,Buy,51844,51818.078,52491.71301,51299.89722,1,18:22:00,0:02:00,1.2291,102654.5547,,1.2291
2/21/2024 0:00,Sell,52302.3,52328.45115,51648.18129,52851.73566,1,5:54:00,0:01:00,1.2291,103916.282,,1.2291
2/22/2024 8:00,Sell,51902.3,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,103916.282,Signal around economic event,0
2/24/2024 5:00,Sell,51049,51074.5245,50410.55568,51585.26975,-1,11:20:00,0:09:00,-1.06929,102805.1154,,-1.06929
2/25/2024 8:00,Sell,51577,51602.7885,50931.95225,52118.81639,1,24:47:00,0:00:00,1.2291,104068.6932,,1.2291
2/26/2024 17:00,Sell,53580,53606.79,52909.90173,54142.8579,-1,1:05:00,0:00:00,-1.06929,102955.897,,-1.06929
2/27/2024 2:00,Sell,56450.2,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,102955.897,Signal around economic event,0
2/28/2024 13:00,Sell,60732.1,60762.46605,59972.55399,61370.09071,1,0:17:00,0:00:00,1.2291,104221.3281,,1.2291
2/29/2024 16:00,Buy,62209.1,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,104221.3281,Signal around economic event,1.2291
2/29/2024 22:00,Buy,61261.2,61230.5694,62026.5668,60618.26371,1,8:36:00,0:48:00,1.2291,105502.3126,,1.2291
