Datetime,Side,Signal Open Price,Entry Price,TP Price,SL Price,Result,Duration,Execution Latency,ROI,NAV,Ignore Reason,Daily Return
3/1/2024 8:00,Buy,61980,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,100000,Signal around economic event,0
3/1/2024 11:00,Buy,61927.7,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,100000,Signal around economic event,0
3/1/2024 19:00,Buy,62270.5,NaN,NaN,NaN,Not Filled,0:00:00,0:00:00,0,100000,,0
3/2/2024 16:00,Sell,61932.8,61945.18656,61387.67988,62812.41917,1,14:30:00,0:03:00,0.82938,100829.3801,,0.82938
3/3/2024 19:00,Sell,62797.1,62809.65942,62244.37249,63688.99465,-1,4:27:00,0:00:00,-1.46901,99348.18627,,-1.46901
3/4/2024 8:00,Sell,65331.3,65344.36626,64756.26696,66259.18739,1,0:06:00,0:00:00,0.82938,100172.1603,,1.665639
3/4/2024 21:00,Buy,67452.7,67439.20946,68046.16235,66495.06053,1,1:01:00,0:00:00,0.82938,101002.9683,,1.665639
3/5/2024 10:00,Sell,66902.1,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,101002.9683,Signal around economic event,0.82938
3/5/2024 20:00,Buy,61956.7,61944.30866,62501.80744,61077.08834,1,0:06:00,0:00:00,0.82938,101840.6668,,0.82938
3/7/2024 14:00,Sell,67090.1,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,101840.6668,Signal around economic event,0
3/8/2024 15:00,Sell,67685.8,67699.33716,67090.04313,68647.12788,1,0:02:00,0:00:00,0.82938,102685.313,,-0.651814
3/8/2024 20:00,Buy,69116.6,69102.77668,69724.70167,68135.33781,-1,0:54:00,0:00:00,-1.46901,101176.8554,,-0.651814
3/10/2024 1:00,Sell,69029.8,69043.60596,68422.21351,70010.21644,1,20:55:00,0:00:00,0.82938,102015.9961,,0.82938
3/11/2024 8:00,Sell,71315,71329.263,70687.29963,72327.87268,-1,2:45:00,0:00:00,-1.46901,100517.3707,,-1.46901
3/12/2024 17:00,Sell,71161.2,71175.43224,70534.85335,72171.88829,1,0:15:00,0:00:00,0.82938,101351.0418,,0.82938
3/13/2024 0:00,Buy,71476.4,71462.10472,72105.26366,70461.63525,1,0:30:00,0:00:00,0.82938,102191.6272,,0.17216
3/13/2024 3:00,Buy,72135.8,72121.37284,72770.4652,71111.67362,1,2:36:00,0:00:00,0.82938,103039.1842,,0.17216
3/13/2024 19:00,Buy,73399.9,73385.22002,74045.687,72357.82694,-1,17:33:00,0:00:00,-1.46901,101525.5281,,0.17216
3/14/2024 16:00,Sell,71412,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,101525.5281,Signal around economic event,0
3/15/2024 4:00,Buy,67477.2,67463.70456,68070.8779,66519.2127,1,0:02:00,0:00:00,0.82938,102367.5606,,1.665639
3/15/2024 20:00,Buy,67906.6,67893.01868,68504.05585,66942.51642,1,1:20:00,0:00:00,0.82938,103216.5768,,1.665639
3/16/2024 19:00,Sell,66969.1,66982.49382,66379.65138,67920.24873,1,1:20:00,0:00:00,0.82938,104072.6345,,0.82938
3/17/2024 2:00,Sell,66403,66416.2806,65818.53408,67346.10853,1,3:34:00,0:00:00,0.82938,104935.7922,,0.17216
3/17/2024 9:00,Sell,66504.9,66518.20098,65919.53717,67449.45579,-1,0:32:00,0:00:00,-1.46901,103394.2748,,0.17216
3/17/2024 18:00,Buy,68230,68216.354,68830.30119,67261.32504,1,3:32:00,0:03:00,0.82938,104251.8063,,0.17216
3/19/2024 0:00,Buy,67146.9,67133.47062,67737.67186,66193.60203,-1,0:29:00,0:00:00,-1.46901,102720.3367,,-1.46901
3/19/2024 9:00,Sell,64184.4,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,102720.3367,Signal around economic event,-1.46901
3/21/2024 8:00,Sell,67336,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,102720.3367,Signal around economic event,0.82938
3/21/2024 18:00,Sell,65194.4,65207.43888,64620.57193,66120.34302,1,1:04:00,0:00:00,0.82938,103572.2787,,0.82938
3/22/2024 1:00,Buy,65284.1,65271.04318,65858.48257,64357.24858,1,1:15:00,0:03:00,0.82938,104431.2866,,1.665639
3/22/2024 16:00,Sell,63312.1,63324.76242,62754.83956,64211.30909,1,4:35:00,0:00:00,0.82938,105297.4189,,1.665639
3/24/2024 8:00,Sell,65295.3,65308.35906,64720.58383,66222.67609,1,8:06:00,0:00:00,0.82938,106170.7347,,-0.651814
3/24/2024 16:00,Sell,65295.9,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,106170.7347,One open trade with the same side,-0.651814
3/24/2024 18:00,Sell,65892,65905.1784,65312.03179,66827.8509,-1,3:01:00,0:00:00,-1.46901,104611.0759,,-0.651814
3/25/2024 7:00,Buy,66866.5,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,104611.0759,Signal around economic event,0.82938
3/25/2024 17:00,Sell,70605.9,70620.02118,69984.44099,71608.70148,1,3:18:00,0:00:00,0.82938,105478.6993,,0.82938
3/26/2024 0:00,Sell,69951.6,69965.59032,69335.90001,70945.10858,-1,6:02:00,0:00:00,-1.46901,103929.2065,,-1.46901
3/27/2024 0:00,Sell,70665,70679.133,70043.0208,71668.64086,1,6:16:00,0:00:00,0.82938,104791.1747,,1.665639
3/27/2024 23:00,Buy,69532.6,69518.69348,70144.36172,68545.43177,1,6:16:00,0:00:00,0.82938,105660.2918,,1.665639
3/28/2024 12:00,Sell,70902.9,70917.08058,70278.82686,71909.91971,1,16:23:00,0:00:00,0.82938,106536.6172,,-0.651814
3/28/2024 20:00,Buy,70726.1,70711.95478,71348.36237,69721.98741,-1,12:35:00,0:00:00,-1.46901,104971.5835,,-0.651814
3/30/2024 0:00,Buy,69985,69971.003,70600.74203,68991.40896,1,35:11:00,0:00:00,0.82938,105842.1969,,0.82938
3/30/2024 17:00,Sell,70099.9,NaN,NaN,NaN,Not Filled,0:00:00,0:00:00,0,105842.1969,,0.82938
3/31/2024 8:00,Sell,70342,70356.0684,69722.86378,71341.05336,-1,9:27:00,0:23:00,-1.46901,104287.3643,,-1.46901
