Datetime,Side,Signal Open Price,Entry Price,TP Price,SL Price,Result,Duration,Execution Latency,ROI,NAV,Ignore Reason,Daily Return
5/2/2024 9:00,Buy,57775.8,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,100000,Signal around economic event,0
5/3/2024 0:00,Buy,59007.7,59001.79923,59709.82082,58175.77404,1,1:12:00,0:00:00,1.12917,101129.1701,,1.12917
5/3/2024 5:00,Buy,59495,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,101129.1701,Signal around economic event,1.12917
5/3/2024 12:00,Sell,60604.7,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,101129.1701,Signal around economic event,1.12917
5/4/2024 11:00,Sell,63850,63856.385,63090.10838,64750.37439,1,13:16:00,0:00:00,1.12917,102271.0905,,1.12917
5/5/2024 11:00,Sell,63838.1,63844.48381,63078.35,64738.30658,-1,20:18:00,0:00:00,-1.46901,100768.7178,,-0.356428
5/5/2024 18:00,Buy,63900,63893.61,64660.33332,62999.09946,1,13:18:00,0:00:00,1.12917,101906.5681,,-0.356428
5/6/2024 4:00,Buy,64120.5,64114.08795,64883.45701,63216.49072,1,3:17:00,0:01:00,1.12917,103057.2666,,1.12917
5/7/2024 5:00,Buy,63530,63523.647,64285.93076,62634.31594,1,2:29:00,0:00:00,1.12917,104220.9584,,1.12917
5/8/2024 8:00,Buy,62358.4,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,104220.9584,Signal around economic event,1.12917
5/8/2024 20:00,Sell,61544.1,61550.25441,60811.65136,62411.95797,1,13:59:00,0:00:00,1.12917,105397.7904,,1.12917
5/9/2024 15:00,Sell,62122.5,62128.71225,61383.1677,62998.51422,-1,6:43:00,0:00:00,-1.46901,103849.4861,,-1.46901
5/10/2024 12:00,Buy,62990.6,62984.30094,63740.11255,62102.52073,-1,1:31:00,0:00:00,-1.46901,102323.9266,,-1.46901
5/11/2024 0:00,Sell,60753.7,60759.77537,60030.65807,61610.41223,-1,39:14:00,0:01:00,-1.46901,100820.7778,,-1.46901
5/12/2024 1:00,Buy,60840.7,60834.61593,61564.63132,59982.93131,1,13:41:00,0:00:00,1.12917,101959.2159,,-0.356428
5/12/2024 20:00,Sell,61257.1,61263.22571,60528.067,62120.91087,-1,10:37:00,0:16:00,-1.46901,100461.4247,,-0.356428
5/13/2024 10:00,Sell,62642,62648.2642,61896.48503,63525.3399,1,19:11:00,0:01:00,1.12917,101595.8051,,1.12917
5/14/2024 4:00,Sell,62523.9,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,101595.8051,One open trade with the same side,0
5/15/2024 11:00,Buy,62447.3,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,101595.8051,Signal around economic event,1.12917
5/15/2024 18:00,Buy,65685.1,65678.53149,66466.67387,64759.03205,1,5:09:00,0:00:00,1.12917,102742.9945,,1.12917
5/16/2024 3:00,Sell,65946.8,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,102742.9945,Signal around economic event,0
5/17/2024 0:00,Buy,65477.9,65471.35221,66257.00844,64554.75328,1,6:12:00,0:00:00,1.12917,103903.1377,,2.27109
5/17/2024 16:00,Buy,66898.4,66891.71016,67694.41068,65955.22622,1,41:33:00,0:00:00,1.12917,105076.3809,,2.27109
5/18/2024 12:00,Sell,66917.1,66923.79171,66120.70621,67860.72479,1,30:10:00,0:00:00,1.12917,106262.872,,2.27109
5/18/2024 17:00,Sell,66826.9,66833.58269,66031.5797,67769.25285,1,25:10:00,0:01:00,1.12917,107462.7606,,2.27109
5/19/2024 10:00,Sell,67247,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,107462.7606,More than 2 open trades,0
5/20/2024 1:00,Buy,66494,66487.3506,67285.19881,65556.52769,1,8:25:00,0:00:00,1.12917,108676.198,,-1.820202
5/20/2024 12:00,Sell,66903.5,66910.19035,66107.26807,67846.93302,-1,3:04:00,0:00:00,-1.46901,107079.7336,,-1.820202
5/20/2024 21:00,Sell,69693,69699.9693,68863.56967,70675.76887,-1,1:22:00,0:00:00,-1.46901,105506.7215,,-1.820202
5/21/2024 17:00,Sell,69914.3,69921.29143,69082.23593,70900.18951,1,27:09:00,0:00:00,1.12917,106698.0718,,2.27109
5/21/2024 21:00,Buy,69751.7,69744.72483,70581.66153,68768.29868,1,17:43:00,0:00:00,1.12917,107902.8746,,2.27109
5/23/2024 0:00,Sell,69546,69552.9546,68718.31915,70526.69596,1,12:36:00,0:02:00,1.12917,109121.2816,,1.12917
5/24/2024 8:00,Buy,67206.6,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,109121.2816,Signal around economic event,0
5/25/2024 9:00,Buy,69118,69111.0882,69940.42126,68143.53297,1,53:13:00,0:00:00,1.12917,110353.4465,,2.27109
5/25/2024 20:00,Sell,69120,69126.912,68297.38906,70094.68877,1,24:30:00,0:02:00,1.12917,111599.5247,,2.27109
5/26/2024 23:00,Buy,68524.4,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,111599.5247,One open trade with the same side,0
5/27/2024 8:00,Sell,68647,68653.8647,67830.01832,69615.01881,-1,5:58:00,0:02:00,-1.46901,109960.1163,,-1.46901
5/29/2024 14:00,Buy,67670.4,67663.63296,68475.59656,66716.3421,1,13:33:00,0:00:00,1.12917,111201.7531,,1.12917
