Real TP,Predicted TP,Real SL,Predicted SL,Real Percentage Change,Predicted Percentage Change
0.01,0.01048076923076921,0.009,0.007714285714285715,0.0007,0.0007307692307692309
0.008,0.01048076923076921,0.013,0.008308943089430898,0.0011,0.0005033333333333334
0.013,0.01048076923076921,0.009,0.005857142857142858,0.0014,0.0010099999999999998
0.013,0.01048076923076921,0.007,0.008308943089430898,0.0006,0.0007512195121951218
0.013,0.01048076923076921,0.013,0.008308943089430898,0.0003,0.0007512195121951218
0.011,0.01048076923076921,0.007,0.008308943089430898,0.0013,0.00045
0.013,0.01048076923076921,0.007,0.008308943089430898,0.0008,0.00023750000000000003
0.008,0.01048076923076921,0.013,0.010208333333333338,0.0007,0.0007512195121951218
0.013,0.01048076923076921,0.006,0.008308943089430898,0.0004,0.0007512195121951218
0.009,0.0071,0.009,0.006153846153846155,0.0013,0.0007512195121951218
0.012,0.01290909090909091,0.005,0.008308943089430898,0.0014,0.0007307692307692309
0.013,0.01048076923076921,0.005,0.010208333333333338,0.001,0.0007512195121951218
0.012,0.01048076923076921,0.01,0.008308943089430898,0.0005,0.00023750000000000003
0.012,0.01048076923076921,0.004,0.005857142857142858,0.0008,0.0007512195121951218
0.006,0.01048076923076921,0.008,0.008308943089430898,0.0001,0.0005033333333333334
0.011,0.01048076923076921,0.011,0.010208333333333338,0.0002,0.0007512195121951218
0.012,0.01048076923076921,0.011,0.008308943089430898,0.0009,0.0007512195121951218
0.004,0.01048076923076921,0.003,0.008308943089430898,0.0003,0.00023750000000000003
0.006,0.01048076923076921,0.003,0.005857142857142858,0.0013,0.0007512195121951218
0.013,0.0071,0.013,0.006153846153846155,0.0013,0.0007512195121951218
0.005,0.00575,0.013,0.008308943089430898,0.0009,0.0007307692307692309
0.013,0.01048076923076921,0.008,0.008308943089430898,0.0001,0.0005363636363636365
0.013,0.01048076923076921,0.005,0.010208333333333338,0.0007,0.0007512195121951218
0.003,0.01048076923076921,0.013,0.008308943089430898,0.0008,0.0007512195121951218
0.013,0.01290909090909091,0.005,0.008308943089430898,0.0001,0.0007307692307692309
0.005,0.01048076923076921,0.01,0.010208333333333338,0.001,0.0007512195121951218
0.01,0.01048076923076921,0.007,0.008308943089430898,0.001,0.0007512195121951218
0.013,0.01048076923076921,0.013,0.008308943089430898,0.0003,0.0005363636363636365
0.012,0.01048076923076921,0.012,0.008308943089430898,0.0006,0.0007512195121951218
0.01,0.01048076923076921,0.004,0.008308943089430898,0.0013,0.0010099999999999998
0.004,0.01048076923076921,0.006,0.008308943089430898,0.0011,0.0007307692307692309
0.011,0.01048076923076921,0.01,0.008308943089430898,0.0007,0.0005033333333333334
0.011,0.01290909090909091,0.01,0.008308943089430898,0.0011,0.0007307692307692309
0.008,0.01048076923076921,0.012,0.008308943089430898,0.0009,0.0005033333333333334
0.003,0.01048076923076921,0.008,0.008308943089430898,0.0007,0.0005033333333333334
0.013,0.01048076923076921,0.009,0.008308943089430898,0.0009,0.0010099999999999998
0.013,0.01048076923076921,0.006,0.008308943089430898,0.0006,0.0005033333333333334
0.013,0.01048076923076921,0.01,0.008308943089430898,0.0006,0.0007512195121951218
0.004,0.01048076923076921,0.007,0.008308943089430898,0.0013,0.0007512195121951218
0.013,0.01048076923076921,0.013,0.010208333333333338,0.0006,0.0007512195121951218
0.013,0.01048076923076921,0.011,0.006153846153846155,0.0007,0.0007512195121951218
0.009,0.01048076923076921,0.013,0.008308943089430898,0.0012,0.0010099999999999998
0.005,0.01048076923076921,0.007,0.008308943089430898,0.0006,0.0005033333333333334
0.013,0.01048076923076921,0.005,0.007714285714285715,0.0006,0.0007307692307692309
0.013,0.01048076923076921,0.01,0.010208333333333338,0.0008,0.0005363636363636365
0.013,0.01048076923076921,0.007,0.008308943089430898,0.0004,0.0005033333333333334
